claim_cells,family,group,ids_over_14,ids_present,ids_within_5,nearest_hex_min,nominal_footprint_cells,representation
4810,adult_tree,20p,,12,"68,69,70,71,72,73,74,75,76,77,80,81",4,0,runtime
359,big_stone,20p,,8,"1,3,4,5,6,7,8",3,0,runtime
361,border_stone,20p,,8,"14,15,18",5,0,runtime
2570,building_stone,20p,,13,"115,116,117,119,120,123,124,126",5,0,runtime
222,bush,20p,,5,"57,58,59,60,61",3,2,runtime
12,cactus,20p,"45,46,47,48",4,,18,0,runtime
6,dead_tree,20p,"43,44",2,,17,0,runtime
212,decorative_stone,20p,,4,"10,11",2,1,runtime
43,grave,20p,,1,,6,0,runtime
13,palm,20p,,2,,12,0,runtime
2,reed,20p,"62,65,67",4,,14,0,runtime
2331,reef,20p,,2,113,4,0,runtime
3,skeleton,20p,49,1,,28,0,runtime
188,small_bush,20p,,4,"53,54,56",3,1,runtime
153,small_flower,20p,,3,"51,52",3,1,runtime
124,small_plant,20p,,3,"35,36,37",2,2,runtime
364,small_stone,20p,,8,"21,22,23,25,26",2,3,runtime
95,stump,20p,,2,41,4,0,runtime
160,territory_marker,20p,,1,255,2,160,runtime
128,toadstool,20p,,3,"39,40",4,0,runtime
2,wreck,20p,"29,30,31,32,33",5,,35,0,runtime
4810,adult_tree,20p,,12,"68,69,70,71,72,73,74,75,76,77,80,81",4,0,static
363,big_stone,20p,,8,"1,2,3,4,5,6,7,8",1,4,static
361,border_stone,20p,,8,"14,15,18",5,0,static
2572,building_stone,20p,,13,"115,116,117,119,120,123,124,126,127",1,1,static
225,bush,20p,,5,"57,58,59,60,61",3,2,static
12,cactus,20p,"45,46,47,48",4,,18,0,static
6,dead_tree,20p,"43,44",2,,17,0,static
213,decorative_stone,20p,,4,"10,11",2,2,static
43,grave,20p,,1,,6,0,static
13,palm,20p,,2,,12,0,static
2,reed,20p,"62,65,67",4,,14,0,static
3,skeleton,20p,49,1,,28,0,static
191,small_bush,20p,,4,"53,54,56",1,4,static
156,small_flower,20p,,3,"51,52",2,2,static
125,small_plant,20p,,3,"35,36,37",2,2,static
372,small_stone,20p,,8,"21,22,23,24,25,26",1,6,static
95,stump,20p,,2,41,4,0,static
131,toadstool,20p,,3,"38,39,40",2,3,static
2,wreck,20p,"29,30,31,32,33",5,,35,0,static
391,adult_tree,2p,,12,"69,73,74,80,81",3,0,runtime
41,big_stone,2p,"2,4,6,8",8,7,2,1,runtime
38,border_stone,2p,"13,14,16,17,19,20",8,18,5,0,runtime
309,building_stone,2p,,13,"119,120,123",4,0,runtime
27,bush,2p,"58,59,60",5,,9,0,runtime
1,cactus,2p,"45,46,47,48",4,,34,0,runtime
0,dead_tree,2p,"43,44",2,,88,0,runtime
24,decorative_stone,2p,"9,12",4,,9,0,runtime
6,grave,2p,,1,,12,0,runtime
1,palm,2p,"78,79",2,,32,0,runtime
1,reed,2p,"62,63,64,65,66",5,,24,0,runtime
126,reef,2p,,2,113,5,0,runtime
0,skeleton,2p,49,1,,86,0,runtime
18,small_bush,2p,56,4,55,3,1,runtime
14,small_flower,2p,52,3,,7,0,runtime
14,small_plant,2p,"35,36",3,37,3,1,runtime
42,small_stone,2p,"23,24,27",8,,9,0,runtime
13,stump,2p,41,2,42,4,0,runtime
16,territory_marker,2p,,1,255,2,16,runtime
22,toadstool,2p,"38,40",3,39,2,1,runtime
1,wreck,2p,"29,30,31,32,33",5,,15,0,runtime
391,adult_tree,2p,,12,"69,73,74,80,81",3,0,static
41,big_stone,2p,"2,4,6,8",8,7,2,1,static
38,border_stone,2p,"13,14,16,17,19,20",8,18,5,0,static
309,building_stone,2p,,13,"119,120,123",4,0,static
29,bush,2p,"59,60",5,58,2,1,static
1,cactus,2p,"45,46,47,48",4,,34,0,static
0,dead_tree,2p,"43,44",2,,88,0,static
25,decorative_stone,2p,9,4,12,2,1,static
6,grave,2p,,1,,12,0,static
1,palm,2p,"78,79",2,,32,0,static
1,reed,2p,"62,63,64,65,66",5,,24,0,static
0,skeleton,2p,49,1,,86,0,static
18,small_bush,2p,56,4,55,3,1,static
14,small_flower,2p,52,3,,7,0,static
14,small_plant,2p,"35,36",3,37,3,1,static
42,small_stone,2p,"23,24,27",8,,9,0,static
13,stump,2p,41,2,42,4,0,static
22,toadstool,2p,"38,40",3,39,2,1,static
1,wreck,2p,"29,30,31,32,33",5,,15,0,static
