global_world_density_median_per_1000_map,group,local_world_count_median,local_world_density_median_per_1000,radius,representation,starts
9.701199,2p,5.5,16.616314000000003,10,static,16
9.701199,2p,30.5,15.633009000000001,25,static,16
9.701199,2p,120.0,15.684224,50,static,16
9.701199,2p,377.0,12.4418335,100,static,16
9.730869,2p,6.5,19.637462,10,runtime,16
9.730869,2p,35.5,18.195797,25,runtime,16
9.730869,2p,124.5,16.2723825,50,runtime,16
9.730869,2p,378.5,12.491337,100,runtime,16
9.794447,20p,4.0,12.084592,10,static,160
9.794447,20p,32.0,16.401845,25,static,160
9.794447,20p,110.0,14.377206,50,static,160
9.794447,20p,335.5,11.180841000000001,100,static,160
10.326809,20p,7.0,21.148036,10,runtime,160
10.326809,20p,44.0,22.552537,25,runtime,160
10.326809,20p,125.0,16.337734,50,runtime,160
10.326809,20p,355.5,11.880796,100,runtime,160
