cells_r14_total,cells_r2_total,cells_r5_total,claim_cells,family,group,maps_present,name,nearest_hex_global_min,nearest_hex_start_median,nearest_hex_start_min,nominal_footprint_cells,object_id,representation,role,starts,starts_within_14,starts_within_2,starts_within_5
10,0,1,44,big_stone,20p,8,Big Stone 1,5,60.0,5,0,1,runtime,world_decor,160,10,0,1
15,0,0,58,big_stone,20p,8,Big Stone 2,6,54.5,6,0,2,runtime,world_decor,160,15,0,0
8,0,1,49,big_stone,20p,8,Big Stone 3,5,58.0,5,0,3,runtime,world_decor,160,8,0,1
13,0,5,42,big_stone,20p,8,Big Stone 4,4,65.5,4,0,4,runtime,world_decor,160,12,0,5
9,0,3,47,big_stone,20p,8,Big Stone 5,3,64.5,3,0,5,runtime,world_decor,160,9,0,3
8,0,1,42,big_stone,20p,8,Big Stone 6,5,59.0,5,0,6,runtime,world_decor,160,8,0,1
8,0,3,43,big_stone,20p,8,Big Stone 7,3,63.0,3,0,7,runtime,world_decor,160,8,0,3
7,0,1,34,big_stone,20p,8,Big Stone 8,4,59.5,4,0,8,runtime,world_decor,160,7,0,1
10,0,0,63,decorative_stone,20p,8,Decorative Stone 1,7,54.5,7,0,9,runtime,world_decor,160,10,0,0
8,1,2,49,decorative_stone,20p,8,Decorative Stone 2,2,55.5,2,1,10,runtime,world_decor,160,8,1,2
12,0,3,48,decorative_stone,20p,8,Decorative Stone 3,4,56.5,4,0,11,runtime,world_decor,160,11,0,3
8,0,0,52,decorative_stone,20p,8,Decorative Stone 4,6,60.0,6,0,12,runtime,world_decor,160,8,0,0
7,0,0,38,border_stone,20p,8,Border Stone 1,6,63.5,6,0,13,runtime,world_decor,160,7,0,0
9,0,1,36,border_stone,20p,8,Border Stone 2,5,59.0,5,0,14,runtime,world_decor,160,9,0,1
10,0,3,48,border_stone,20p,8,Border Stone 3,5,55.5,5,0,15,runtime,world_decor,160,10,0,3
5,0,0,50,border_stone,20p,8,Border Stone 4,9,63.0,9,0,16,runtime,world_decor,160,5,0,0
6,0,0,41,border_stone,20p,8,Border Stone 5,7,58.0,7,0,17,runtime,world_decor,160,6,0,0
6,0,1,47,border_stone,20p,8,Border Stone 6,5,56.0,5,0,18,runtime,world_decor,160,6,0,1
12,0,0,55,border_stone,20p,8,Border Stone 7,6,53.5,6,0,19,runtime,world_decor,160,12,0,0
10,0,0,46,border_stone,20p,8,Border Stone 8,6,61.5,6,0,20,runtime,world_decor,160,9,0,0
9,0,1,49,small_stone,20p,8,Small Stone 1,3,59.0,3,0,21,runtime,world_decor,160,9,0,1
9,0,2,54,small_stone,20p,8,Small Stone 2,3,58.5,3,1,22,runtime,world_decor,160,8,0,2
8,0,1,38,small_stone,20p,8,Small Stone 3,5,59.0,5,0,23,runtime,world_decor,160,8,0,1
5,0,0,44,small_stone,20p,8,Small Stone 4,7,58.5,7,0,24,runtime,world_decor,160,5,0,0
11,1,1,50,small_stone,20p,8,Small Stone 5,2,52.5,2,1,25,runtime,world_decor,160,9,1,1
8,1,2,52,small_stone,20p,8,Small Stone 6,2,60.5,2,1,26,runtime,world_decor,160,8,1,2
6,0,0,40,small_stone,20p,8,Small Stone 7,6,58.0,6,0,27,runtime,world_decor,160,6,0,0
2,0,0,37,small_stone,20p,8,Small Stone 8,9,67.0,9,0,28,runtime,world_decor,160,2,0,0
0,0,0,0,wreck,20p,6,Wreck 1,44,314.5,44,0,29,runtime,world_decor,120,0,0,0
0,0,0,0,wreck,20p,5,Wreck 2,75,357.0,75,0,30,runtime,world_decor,100,0,0,0
0,0,0,0,wreck,20p,5,Wreck 3,42,293.5,42,0,31,runtime,world_decor,100,0,0,0
0,0,0,1,wreck,20p,7,Wreck 4,35,317.0,35,0,32,runtime,world_decor,140,0,0,0
0,0,0,1,wreck,20p,5,Wreck 5,36,337.0,36,0,33,runtime,world_decor,100,0,0,0
11,0,0,43,grave,20p,8,Grave,6,57.0,6,0,34,runtime,world_decor,160,11,0,0
15,1,2,42,small_plant,20p,8,Small Plant 1,2,58.0,2,1,35,runtime,world_decor,160,13,1,2
9,0,1,40,small_plant,20p,8,Small Plant 2,4,57.0,4,0,36,runtime,world_decor,160,8,0,1
13,0,2,42,small_plant,20p,8,Small Plant 3,3,63.0,3,1,37,runtime,world_decor,160,13,0,2
5,0,0,42,toadstool,20p,8,Toadstool 1,7,59.5,7,0,38,runtime,world_decor,160,5,0,0
