cells,group,map_id,runtime,static
17,2p,sav_001,113,0
3,2p,sav_001,112,0
2,2p,sav_001,255,0
1,2p,sav_001,113,60
1,2p,sav_001,0,12
18,2p,sav_002,113,0
3,2p,sav_002,112,0
2,2p,sav_002,255,0
6,2p,sav_003,113,0
2,2p,sav_003,255,0
1,2p,sav_003,112,0
18,2p,sav_004,113,0
3,2p,sav_004,112,0
2,2p,sav_004,255,0
6,2p,sav_005,113,0
2,2p,sav_005,255,0
1,2p,sav_005,112,0
12,2p,sav_006,113,0
2,2p,sav_006,255,0
2,2p,sav_006,112,0
18,2p,sav_007,113,0
3,2p,sav_007,112,0
2,2p,sav_007,255,0
1,2p,sav_007,0,58
12,2p,sav_008,113,0
2,2p,sav_008,255,0
2,2p,sav_008,112,0
236,20p,sav_009,113,0
40,20p,sav_009,112,0
20,20p,sav_009,255,0
1,20p,sav_009,113,61
1,20p,sav_009,113,59
1,20p,sav_009,0,25
1,20p,sav_009,113,22
1,20p,sav_009,0,56
1,20p,sav_009,113,127
228,20p,sav_010,113,0
38,20p,sav_010,112,0
20,20p,sav_010,255,0
1,20p,sav_010,0,10
251,20p,sav_011,113,0
42,20p,sav_011,112,0
20,20p,sav_011,255,0
1,20p,sav_011,0,21
1,20p,sav_011,113,23
1,20p,sav_011,0,8
228,20p,sav_012,113,0
38,20p,sav_012,112,0
20,20p,sav_012,255,0
1,20p,sav_012,0,2
1,20p,sav_012,0,127
1,20p,sav_012,0,40
257,20p,sav_013,113,0
43,20p,sav_013,112,0
19,20p,sav_013,255,0
1,20p,sav_013,113,24
1,20p,sav_013,255,24
1,20p,sav_013,0,38
1,20p,sav_013,0,56
253,20p,sav_014,113,0
43,20p,sav_014,112,0
20,20p,sav_014,255,0
2,20p,sav_014,113,51
1,20p,sav_014,0,8
1,20p,sav_014,113,37
1,20p,sav_014,113,24
1,20p,sav_014,113,27
222,20p,sav_015,113,0
36,20p,sav_015,112,0
20,20p,sav_015,255,0
1,20p,sav_015,112,61
1,20p,sav_015,0,8
1,20p,sav_015,0,56
1,20p,sav_015,0,40
312,20p,sav_016,113,0
52,20p,sav_016,112,0
20,20p,sav_016,255,0
1,20p,sav_016,0,51
