group,map_id,player,runtime_all_r10,runtime_all_r100,runtime_all_r25,runtime_all_r50,runtime_neighborhood_cells_r10,runtime_neighborhood_cells_r100,runtime_neighborhood_cells_r25,runtime_neighborhood_cells_r50,runtime_world_density_r10,runtime_world_density_r100,runtime_world_density_r25,runtime_world_density_r50,runtime_world_r10,runtime_world_r100,runtime_world_r25,runtime_world_r50,start_x,start_y,static_all_r10,static_all_r100,static_all_r25,static_all_r50,static_neighborhood_cells_r10,static_neighborhood_cells_r100,static_neighborhood_cells_r25,static_neighborhood_cells_r50,static_world_density_r10,static_world_density_r100,static_world_density_r25,static_world_density_r50,static_world_r10,static_world_r100,static_world_r25,static_world_r50
2p,sav_001,1,2,378,26,111,331,30301,1951,7651,3.021148,12.441834,12.813942,14.377206,1,377,25,110,233,459,2,378,26,111,331,30301,1951,7651,6.042296,12.474836,13.326499,14.507907,2,378,26,111
2p,sav_001,2,11,330,61,142,331,30301,1951,7651,30.21148,10.857727,30.75346,18.428964,10,329,60,141,198,118,6,309,40,121,331,30301,1951,7651,18.126888,10.197683,20.502307,15.814926,6,309,40,121
2p,sav_002,1,8,170,31,73,331,22631,1951,7156,21.148036,7.467633,15.37673,10.061487,7,169,30,72,142,41,7,169,30,72,331,22631,1951,7156,21.148036,7.467633,15.37673,10.061487,7,169,30,72
2p,sav_002,2,5,252,41,114,331,24026,1951,7651,12.084592,10.447016,20.502307,14.769311,4,251,40,113,289,717,3,230,21,92,331,24026,1951,7651,9.063444,9.572963,10.763711,12.024572,3,230,21,92
2p,sav_003,1,3,391,19,81,331,30301,1951,7651,6.042296,12.870862,9.226038,10.45615,2,390,18,80,158,223,2,390,18,80,331,30301,1951,7651,6.042296,12.870862,9.226038,10.45615,2,390,18,80
2p,sav_003,2,11,275,33,104,331,30301,1951,7651,30.21148,9.042606,16.401845,13.462293,10,274,32,103,261,535,5,267,25,96,331,30301,1951,7651,15.10574,8.81159,12.813942,12.547379,5,267,25,96
2p,sav_004,1,5,377,32,120,331,30301,1951,7651,12.084592,12.408831,15.889288,15.553522,4,376,31,119,220,310,4,376,31,119,331,30301,1951,7651,12.084592,12.408831,15.889288,15.553522,4,376,31,119
2p,sav_004,2,14,468,71,193,331,30301,1951,7651,39.274924,15.412033,35.879036,25.094759,13,467,70,192,310,170,8,446,49,171,331,30301,1951,7651,24.169184,14.718986,25.115325,22.35002,8,446,49,171
2p,sav_005,1,1,389,29,117,331,30301,1951,7651,0.0,12.804858,14.351615,15.161417,0,388,28,116,121,329,0,388,28,116,331,30301,1951,7651,0.0,12.804858,14.351615,15.161417,0,388,28,116
2p,sav_005,2,8,413,52,133,331,30301,1951,7651,21.148036,13.596911,26.140441,17.252647,7,412,51,132,356,225,7,405,44,125,331,30301,1951,7651,21.148036,13.365896,22.552537,16.337734,7,405,44,125
2p,sav_006,1,8,381,39,167,331,30301,1951,7651,21.148036,12.54084,19.477191,21.69651,7,380,38,166,110,290,7,380,38,166,331,30301,1951,7651,21.148036,12.54084,19.477191,21.69651,7,380,38,166
2p,sav_006,2,8,389,64,174,331,30301,1951,7651,21.148036,12.804858,32.291133,22.611423,7,388,63,173,365,114,6,374,55,159,331,30301,1951,7651,18.126888,12.342827,28.190671,20.781597,6,374,55,159
2p,sav_007,1,4,334,33,131,331,30301,1951,7651,9.063444,10.989736,16.401845,16.991243,3,333,32,130,209,636,3,333,32,130,331,30301,1951,7651,9.063444,10.989736,16.401845,16.991243,3,333,32,130
2p,sav_007,2,7,503,47,171,331,30301,1951,7651,18.126888,16.56711,23.577652,22.219318,6,502,46,170,648,433,6,482,30,150,331,30301,1951,7651,18.126888,15.907066,15.37673,19.60528,6,482,30,150
2p,sav_008,1,9,353,42,104,331,30301,1951,7651,24.169184,11.616778,21.014864,13.462293,8,352,41,103,120,274,8,352,41,103,331,30301,1951,7651,24.169184,11.616778,21.014864,13.462293,8,352,41,103
2p,sav_008,2,6,464,34,143,331,30301,1951,7651,15.10574,15.280024,16.914403,18.559665,5,463,33,142,538,549,2,449,24,128,331,30301,1951,7651,6.042296,14.817993,12.301384,16.729839,2,449,24,128
20p,sav_009,1,3,347,26,116,331,30301,1951,7651,6.042296,11.418765,12.813942,15.030715,2,346,25,115,661,443,2,339,25,115,331,30301,1951,7651,6.042296,11.18775,12.813942,15.030715,2,339,25,115
