all_nonzero_distance,all_nonzero_r0,all_nonzero_r10,all_nonzero_r100,all_nonzero_r14,all_nonzero_r2,all_nonzero_r25,all_nonzero_r5,all_nonzero_r50,first_world_object_distance,first_world_object_id,first_world_object_name,group,map_id,nominal_footprint_nonzero_cells,nominal_footprint_world_cells,player,representation,start_x,start_y,world_decor_r0,world_decor_r10,world_decor_r100,world_decor_r14,world_decor_r2,world_decor_r25,world_decor_r5,world_decor_r50
2,0,2,378,4,1,26,1,111,2,12,Decorative Stone 4,2p,sav_001,1,1,1,static,233,459,0,2,378,4,1,26,1,111
5,0,6,309,12,0,40,1,121,5,120,Building Stone 6,2p,sav_001,0,0,2,static,198,118,0,6,309,12,0,40,1,121
3,0,7,169,12,0,30,3,72,3,55,Small Bush 3,2p,sav_002,1,1,1,static,142,41,0,7,169,12,0,30,3,72
7,0,3,230,6,0,21,0,92,7,121,Building Stone 7,2p,sav_002,0,0,2,static,289,717,0,3,230,6,0,21,0,92
9,0,2,390,6,0,18,0,80,9,77,Adult Tree 10,2p,sav_003,0,0,1,static,158,223,0,2,390,6,0,18,0,80
6,0,5,267,8,0,25,0,96,6,69,Birch 2,2p,sav_003,0,0,2,static,261,535,0,5,267,8,0,25,0,96
2,0,4,376,11,1,31,2,119,2,7,Big Stone 7,2p,sav_004,1,1,1,static,220,310,0,4,376,11,1,31,2,119
3,0,8,446,15,0,49,2,171,3,74,Adult Tree 7,2p,sav_004,0,0,2,static,310,170,0,8,446,15,0,49,2,171
11,0,0,388,4,0,28,0,116,11,70,Elm 1,2p,sav_005,0,0,1,static,121,329,0,0,388,4,0,28,0,116
4,0,7,405,16,0,44,2,125,4,80,Adult Tree 13,2p,sav_005,0,0,2,static,356,225,0,7,405,16,0,44,2,125
3,0,7,380,12,0,38,2,166,3,37,Small Plant 3,2p,sav_006,1,1,1,static,110,290,0,7,380,12,0,38,2,166
2,0,6,374,13,1,55,1,159,2,39,Toadstool 2,2p,sav_006,1,1,2,static,365,114,0,6,374,13,1,55,1,159
7,0,3,333,10,0,32,0,130,7,71,Elm 2,2p,sav_007,0,0,1,static,209,636,0,3,333,10,0,32,0,130
2,0,6,482,10,1,30,3,150,2,58,Bush 2,2p,sav_007,1,1,2,static,648,433,0,6,482,10,1,30,3,150
3,0,8,352,17,0,41,1,103,3,81,Adult Tree 14,2p,sav_008,0,0,1,static,120,274,0,8,352,17,0,41,1,103
6,0,2,449,4,0,24,0,128,6,80,Adult Tree 13,2p,sav_008,0,0,2,static,538,549,0,2,449,4,0,24,0,128
6,0,2,339,3,0,25,0,115,6,119,Building Stone 5,20p,sav_009,0,0,1,static,661,443,0,2,339,3,0,25,0,115
5,0,6,338,12,0,33,1,105,5,75,Adult Tree 8,20p,sav_009,0,0,2,static,454,565,0,6,338,12,0,33,1,105
5,0,3,287,11,0,26,1,84,5,72,Oak,20p,sav_009,0,0,3,static,199,573,0,3,287,11,0,26,1,84
10,0,1,284,4,0,26,0,76,10,54,Small Bush 2,20p,sav_009,0,0,4,static,91,197,0,1,284,4,0,26,0,76
5,0,1,304,2,0,18,1,87,5,4,Big Stone 4,20p,sav_009,0,0,5,static,100,482,0,1,304,2,0,18,1,87
6,0,1,414,7,0,25,0,118,6,77,Adult Tree 10,20p,sav_009,0,0,6,static,593,301,0,1,414,7,0,25,0,118
5,0,4,333,6,0,32,2,112,5,14,Border Stone 2,20p,sav_009,0,0,7,static,233,309,0,4,333,6,0,32,2,112
2,0,5,264,10,1,33,1,89,2,35,Small Plant 1,20p,sav_009,1,1,8,static,365,82,0,5,264,10,1,33,1,89
5,0,2,345,7,0,32,1,97,5,81,Adult Tree 14,20p,sav_009,0,0,9,static,443,120,0,2,345,7,0,32,1,97
5,0,6,374,15,0,47,1,120,5,117,Building Stone 3,20p,sav_009,0,0,10,static,387,461,0,6,374,15,0,47,1,120
12,0,0,235,2,0,19,0,73,12,117,Building Stone 3,20p,sav_009,0,0,11,static,124,106,0,0,235,2,0,19,0,73
1,0,5,291,11,1,29,2,128,1,56,Small Bush 4,20p,sav_009,1,1,12,static,404,682,0,5,291,11,1,29,2,128
2,0,6,304,11,1,31,2,100,2,25,Small Stone 5,20p,sav_009,1,1,13,static,363,275,0,6,304,11,1,31,2,100
6,0,4,319,8,0,25,0,94,6,18,Border Stone 6,20p,sav_009,0,0,14,static,247,178,0,4,319,8,0,25,0,94
8,0,5,432,11,0,34,0,92,8,81,Adult Tree 14,20p,sav_009,0,0,15,static,622,239,0,5,432,11,0,34,0,92
3,0,9,336,16,0,49,2,146,3,52,Small Flower 3,20p,sav_009,0,0,16,static,135,396,0,9,336,16,0,49,2,146
5,0,4,209,4,0,38,2,97,5,81,Adult Tree 14,20p,sav_009,0,0,17,static,600,693,0,4,209,4,0,38,2,97
9,0,2,266,7,0,18,0,78,9,34,Grave,20p,sav_009,0,0,18,static,282,490,0,2,266,7,0,18,0,78
6,0,5,348,7,0,27,0,111,6,80,Adult Tree 13,20p,sav_009,0,0,19,static,644,538,0,5,348,7,0,27,0,111
5,0,5,361,16,0,44,1,119,5,72,Oak,20p,sav_009,0,0,20,static,422,372,0,5,361,16,0,44,1,119
4,0,9,258,18,0,39,2,99,4,80,Adult Tree 13,20p,sav_010,0,0,1,static,75,124,0,9,258,18,0,39,2,99
3,0,7,410,11,0,28,3,111,3,5,Big Stone 5,20p,sav_010,0,0,2,static,145,467,0,7,410,11,0,28,3,111
3,0,13,396,22,0,47,2,130,3,53,Small Bush 1,20p,sav_010,0,0,3,static,625,176,0,13,396,22,0,47,2,130
6,0,4,387,10,0,39,0,127,6,68,Birch 1,20p,sav_010,0,0,4,static,621,274,0,4,387,10,0,39,0,127
6,0,5,330,16,0,39,0,99,6,122,Building Stone 8,20p,sav_010,0,0,5,static,466,503,0,5,330,16,0,39,0,99
9,0,1,346,6,0,36,0,149,9,37,Small Plant 3,20p,sav_010,0,0,6,static,518,348,0,1,346,6,0,36,0,149
7,0,1,330,5,0,20,0,94,7,22,Small Stone 2,20p,sav_010,0,0,7,static,253,314,0,1,330,5,0,20,0,94
7,0,5,346,13,0,45,0,123,7,126,Building Stone 12,20p,sav_010,0,0,8,static,592,475,0,5,346,13,0,45,0,123
6,0,7,419,15,0,37,0,123,6,125,Building Stone 11,20p,sav_010,0,0,9,static,478,651,0,7,419,15,0,37,0,123
7,0,3,255,7,0,28,0,62,7,41,Tree Stump 1,20p,sav_010,0,0,10,static,228,159,0,3,255,7,0,28,0,62
5,0,4,396,11,0,40,1,138,5,59,Bush 3,20p,sav_010,0,0,11,static,604,578,0,4,396,11,0,40,1,138
5,0,3,403,8,0,29,1,134,5,80,Adult Tree 13,20p,sav_010,0,0,12,static,367,314,0,3,403,8,0,29,1,134
5,0,4,291,11,0,37,1,120,5,72,Oak,20p,sav_010,0,0,13,static,337,79,0,4,291,11,0,37,1,120
6,0,7,317,14,0,45,0,143,6,4,Big Stone 4,20p,sav_010,0,0,14,static,384,691,0,7,317,14,0,45,0,143
2,0,8,351,13,1,39,3,99,2,26,Small Stone 6,20p,sav_010,1,1,15,static,118,265,0,8,351,13,1,39,3,99
2,0,8,295,16,1,50,1,103,2,10,Decorative Stone 2,20p,sav_010,1,1,16,static,110,653,0,8,295,16,1,50,1,103
8,0,1,337,5,0,26,0,93,8,14,Border Stone 2,20p,sav_010,0,0,17,static,633,376,0,1,337,5,0,26,0,93
9,0,1,288,5,0,30,0,107,9,12,Decorative Stone 4,20p,sav_010,0,0,18,static,201,703,0,1,288,5,0,30,0,107
4,0,3,306,8,0,32,1,97,4,41,Tree Stump 1,20p,sav_010,0,0,19,static,290,129,0,3,306,8,0,32,1,97
5,0,6,478,7,0,21,1,138,5,35,Small Plant 1,20p,sav_010,0,0,20,static,217,461,0,6,478,7,0,21,1,138
5,0,7,243,11,0,36,1,118,5,77,Adult Tree 10,20p,sav_011,0,0,1,static,625,77,0,7,243,11,0,36,1,118
6,0,9,324,14,0,39,0,139,6,81,Adult Tree 14,20p,sav_011,0,0,2,static,641,667,0,9,324,14,0,39,0,139
10,0,1,371,3,0,20,0,120,10,80,Adult Tree 13,20p,sav_011,0,0,3,static,449,272,0,1,371,3,0,20,0,120
3,0,6,339,10,0,39,2,141,3,8,Big Stone 8,20p,sav_011,1,1,4,static,353,659,0,6,339,10,0,39,2,141
3,0,8,364,14,0,29,1,124,3,57,Bush 1,20p,sav_011,1,1,5,static,85,520,0,8,364,14,0,29,1,124
9,0,2,259,4,0,28,0,87,9,59,Bush 3,20p,sav_011,0,0,6,static,117,626,0,2,259,4,0,28,0,87
3,0,8,300,12,0,37,2,101,3,21,Small Stone 1,20p,sav_011,0,0,7,static,357,445,0,8,300,12,0,37,2,101
7,0,4,431,10,0,27,0,151,7,123,Building Stone 9,20p,sav_011,0,0,8,static,405,340,0,4,431,10,0,27,0,151
5,0,1,264,1,0,23,1,89,5,69,Birch 2,20p,sav_011,0,0,9,static,685,480,0,1,264,1,0,23,1,89
6,0,2,268,7,0,27,0,83,6,37,Small Plant 3,20p,sav_011,0,0,10,static,326,164,0,2,268,7,0,27,0,83
4,0,2,197,5,0,28,1,97,4,7,Big Stone 7,20p,sav_011,0,0,11,static,393,74,0,2,197,5,0,28,1,97
10,0,2,363,7,0,34,0,128,10,19,Border Stone 7,20p,sav_011,0,0,12,static,243,294,0,2,363,7,0,34,0,128
7,0,4,235,9,0,28,0,82,7,81,Adult Tree 14,20p,sav_011,0,0,13,static,463,610,0,4,235,9,0,28,0,82
4,0,9,448,15,0,43,2,130,4,75,Adult Tree 8,20p,sav_011,0,0,14,static,533,379,0,9,448,15,0,43,2,130
1,0,2,254,8,1,32,2,95,1,21,Small Stone 1,20p,sav_011,1,1,15,static,691,398,0,2,254,8,1,32,2,95
2,0,10,334,13,1,41,5,112,2,25,Small Stone 5,20p,sav_011,1,1,16,static,96,230,0,10,334,13,1,41,5,112
4,0,8,268,14,0,44,2,119,4,76,Adult Tree 9,20p,sav_011,0,0,17,static,73,356,0,8,268,14,0,44,2,119
6,0,2,318,8,0,33,0,95,6,20,Border Stone 8,20p,sav_011,0,0,18,static,247,655,0,2,318,8,0,33,0,95
4,0,8,301,15,0,37,3,83,4,68,Birch 1,20p,sav_011,0,0,19,static,94,143,0,8,301,15,0,37,3,83
6,0,3,281,3,0,26,0,99,6,12,Decorative Stone 4,20p,sav_011,0,0,20,static,290,503,0,3,281,3,0,26,0,99
6,0,4,313,5,0,21,0,95,6,121,Building Stone 7,20p,sav_012,0,0,1,static,376,282,0,4,313,5,0,21,0,95
1,0,3,412,9,1,40,1,105,1,127,Building Stone 13,20p,sav_012,1,1,2,static,599,192,0,3,412,9,1,40,1,105
5,0,4,453,10,0,39,1,128,5,71,Elm 2,20p,sav_012,0,0,3,static,175,459,0,4,453,10,0,39,1,128
5,0,7,397,10,0,30,2,105,5,74,Adult Tree 7,20p,sav_012,0,0,4,static,294,360,0,7,397,10,0,30,2,105
5,0,8,286,14,0,34,1,71,5,123,Building Stone 9,20p,sav_012,0,0,5,static,473,147,0,8,286,14,0,34,1,71
4,0,6,317,13,0,36,1,116,4,61,Bush 5,20p,sav_012,0,0,6,static,78,255,0,6,317,13,0,36,1,116
4,0,8,307,16,0,42,1,143,4,4,Big Stone 4,20p,sav_012,0,0,7,static,684,531,0,8,307,16,0,42,1,143
5,0,8,264,16,0,50,1,102,5,126,Building Stone 12,20p,sav_012,0,0,8,static,510,88,0,8,264,16,0,50,1,102
1,0,4,375,6,1,23,2,106,1,2,Big Stone 2,20p,sav_012,1,1,9,static,101,170,0,4,375,6,1,23,2,106
