cells_r0,cells_r10,cells_r100,cells_r14,cells_r2,cells_r25,cells_r5,cells_r50,claim_object_cells,family,group,map_id,name,nearest_hex,nominal_footprint_object_cells,object_id,player,representation,role,start_x,start_y
0,0,0,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 1,103,0,1,1,static,world_decor,233,459
0,0,1,0,0,0,0,1,1,big_stone,2p,sav_001,Big Stone 1,33,0,1,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 2,56,0,2,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 2,106,0,2,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 3,64,0,3,1,static,world_decor,233,459
0,0,2,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 3,71,0,3,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 4,109,0,4,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 4,148,0,4,2,static,world_decor,198,118
0,0,3,0,0,1,0,1,1,big_stone,2p,sav_001,Big Stone 5,21,0,5,1,static,world_decor,233,459
0,0,2,0,0,0,0,1,0,big_stone,2p,sav_001,Big Stone 5,47,0,5,2,static,world_decor,198,118
0,0,3,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 6,89,0,6,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 6,138,0,6,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 7,84,0,7,1,static,world_decor,233,459
0,0,1,0,0,0,0,1,0,big_stone,2p,sav_001,Big Stone 7,44,0,7,2,static,world_decor,198,118
0,0,2,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 8,74,0,8,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,big_stone,2p,sav_001,Big Stone 8,70,0,8,2,static,world_decor,198,118
0,0,2,0,0,0,0,0,0,decorative_stone,2p,sav_001,Decorative Stone 1,54,0,9,1,static,world_decor,233,459
0,0,3,0,0,0,0,0,0,decorative_stone,2p,sav_001,Decorative Stone 1,51,0,9,2,static,world_decor,198,118
0,0,4,0,0,1,0,1,1,decorative_stone,2p,sav_001,Decorative Stone 2,21,0,10,1,static,world_decor,233,459
0,0,5,0,0,1,0,2,2,decorative_stone,2p,sav_001,Decorative Stone 2,20,0,10,2,static,world_decor,198,118
0,0,2,0,0,0,0,0,0,decorative_stone,2p,sav_001,Decorative Stone 3,60,0,11,1,static,world_decor,233,459
0,0,2,0,0,0,0,1,1,decorative_stone,2p,sav_001,Decorative Stone 3,35,0,11,2,static,world_decor,198,118
0,1,1,1,1,1,1,1,1,decorative_stone,2p,sav_001,Decorative Stone 4,2,1,12,1,static,world_decor,233,459
0,0,1,0,0,0,0,1,0,decorative_stone,2p,sav_001,Decorative Stone 4,47,0,12,2,static,world_decor,198,118
0,0,1,0,0,1,0,1,1,border_stone,2p,sav_001,Border Stone 1,17,0,13,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 1,146,0,13,2,static,world_decor,198,118
0,0,2,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 2,73,0,14,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 2,63,0,14,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 3,96,0,15,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 3,79,0,15,2,static,world_decor,198,118
0,0,2,0,0,0,0,1,1,border_stone,2p,sav_001,Border Stone 4,28,0,16,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 4,77,0,16,2,static,world_decor,198,118
0,0,2,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 5,64,0,17,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 5,105,0,17,2,static,world_decor,198,118
0,0,3,0,0,1,0,1,1,border_stone,2p,sav_001,Border Stone 6,21,0,18,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 6,79,0,18,2,static,world_decor,198,118
0,0,3,0,0,0,0,1,0,border_stone,2p,sav_001,Border Stone 7,42,0,19,1,static,world_decor,233,459
0,0,2,0,0,0,0,2,0,border_stone,2p,sav_001,Border Stone 7,46,0,19,2,static,world_decor,198,118
0,0,4,0,0,0,0,2,1,border_stone,2p,sav_001,Border Stone 8,35,0,20,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,border_stone,2p,sav_001,Border Stone 8,130,0,20,2,static,world_decor,198,118
0,0,3,0,0,0,0,2,2,small_stone,2p,sav_001,Small Stone 1,30,0,21,1,static,world_decor,233,459
0,0,3,0,0,0,0,1,0,small_stone,2p,sav_001,Small Stone 1,38,0,21,2,static,world_decor,198,118
0,0,1,1,0,1,0,1,1,small_stone,2p,sav_001,Small Stone 2,13,0,22,1,static,world_decor,233,459
0,0,2,0,0,0,0,0,0,small_stone,2p,sav_001,Small Stone 2,77,0,22,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,small_stone,2p,sav_001,Small Stone 3,93,0,23,1,static,world_decor,233,459
0,0,3,0,0,0,0,3,0,small_stone,2p,sav_001,Small Stone 3,42,0,23,2,static,world_decor,198,118
0,0,2,0,0,0,0,0,0,small_stone,2p,sav_001,Small Stone 4,64,0,24,1,static,world_decor,233,459
0,0,4,0,0,0,0,2,0,small_stone,2p,sav_001,Small Stone 4,45,0,24,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,small_stone,2p,sav_001,Small Stone 5,100,0,25,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,small_stone,2p,sav_001,Small Stone 5,63,0,25,2,static,world_decor,198,118
0,0,2,0,0,1,0,1,1,small_stone,2p,sav_001,Small Stone 6,16,0,26,1,static,world_decor,233,459
0,0,2,1,0,1,0,2,1,small_stone,2p,sav_001,Small Stone 6,12,0,26,2,static,world_decor,198,118
0,0,1,0,0,1,0,1,1,small_stone,2p,sav_001,Small Stone 7,19,0,27,1,static,world_decor,233,459
0,0,2,0,0,0,0,0,0,small_stone,2p,sav_001,Small Stone 7,82,0,27,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,small_stone,2p,sav_001,Small Stone 8,152,0,28,1,static,world_decor,233,459
0,0,1,0,0,0,0,1,0,small_stone,2p,sav_001,Small Stone 8,47,0,28,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,wreck,2p,sav_001,Wreck 1,95,0,29,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,wreck,2p,sav_001,Wreck 1,108,0,29,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,wreck,2p,sav_001,Wreck 3,302,0,31,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,wreck,2p,sav_001,Wreck 3,424,0,31,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,wreck,2p,sav_001,Wreck 4,70,0,32,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,wreck,2p,sav_001,Wreck 4,246,0,32,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,grave,2p,sav_001,Grave,98,0,34,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,grave,2p,sav_001,Grave,81,0,34,2,static,world_decor,198,118
0,0,5,0,0,0,0,0,0,small_plant,2p,sav_001,Small Plant 1,64,0,35,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,small_plant,2p,sav_001,Small Plant 1,181,0,35,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,small_plant,2p,sav_001,Small Plant 2,106,0,36,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,small_plant,2p,sav_001,Small Plant 2,96,0,36,2,static,world_decor,198,118
0,0,3,0,0,0,0,0,0,small_plant,2p,sav_001,Small Plant 3,53,0,37,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,small_plant,2p,sav_001,Small Plant 3,62,0,37,2,static,world_decor,198,118
0,0,1,0,0,1,0,1,1,toadstool,2p,sav_001,Toadstool 1,22,0,38,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,toadstool,2p,sav_001,Toadstool 1,59,0,38,2,static,world_decor,198,118
0,0,3,0,0,0,0,1,1,toadstool,2p,sav_001,Toadstool 2,35,0,39,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,toadstool,2p,sav_001,Toadstool 2,94,0,39,2,static,world_decor,198,118
0,0,2,0,0,0,0,1,0,toadstool,2p,sav_001,Toadstool 3,45,0,40,1,static,world_decor,233,459
0,0,3,0,0,0,0,2,2,toadstool,2p,sav_001,Toadstool 3,30,0,40,2,static,world_decor,198,118
0,0,5,0,0,1,0,1,1,stump,2p,sav_001,Tree Stump 1,18,0,41,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,stump,2p,sav_001,Tree Stump 1,86,0,41,2,static,world_decor,198,118
0,1,3,1,0,1,0,1,1,stump,2p,sav_001,Tree Stump 2,9,0,42,1,static,world_decor,233,459
0,0,2,0,0,0,0,0,0,stump,2p,sav_001,Tree Stump 2,95,0,42,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,dead_tree,2p,sav_001,Dead Tree 1,146,0,43,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,dead_tree,2p,sav_001,Dead Tree 1,428,0,43,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,dead_tree,2p,sav_001,Dead Tree 2,144,0,44,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,dead_tree,2p,sav_001,Dead Tree 2,368,0,44,2,static,world_decor,198,118
0,0,1,0,0,0,0,1,1,cactus,2p,sav_001,Cactus 1,34,0,45,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,cactus,2p,sav_001,Cactus 1,268,0,45,2,static,world_decor,198,118
0,0,2,0,0,0,0,0,0,cactus,2p,sav_001,Cactus 2,54,0,46,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,cactus,2p,sav_001,Cactus 2,116,0,46,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,cactus,2p,sav_001,Cactus 3,133,0,47,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,cactus,2p,sav_001,Cactus 3,240,0,47,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,cactus,2p,sav_001,Cactus 4,218,0,48,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,cactus,2p,sav_001,Cactus 4,550,0,48,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,skeleton,2p,sav_001,Skeleton,144,0,49,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,skeleton,2p,sav_001,Skeleton,373,0,49,2,static,world_decor,198,118
0,0,3,0,0,0,0,0,0,small_flower,2p,sav_001,Small Flower 1,58,0,50,1,static,world_decor,233,459
0,0,2,0,0,1,0,1,1,small_flower,2p,sav_001,Small Flower 1,23,0,50,2,static,world_decor,198,118
0,0,3,0,0,0,0,0,0,small_flower,2p,sav_001,Small Flower 2,60,0,51,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,small_flower,2p,sav_001,Small Flower 2,115,0,51,2,static,world_decor,198,118
0,0,2,0,0,0,0,1,0,small_flower,2p,sav_001,Small Flower 3,38,0,52,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,small_flower,2p,sav_001,Small Flower 3,78,0,52,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,small_bush,2p,sav_001,Small Bush 1,96,0,53,1,static,world_decor,233,459
0,0,2,0,0,0,0,0,0,small_bush,2p,sav_001,Small Bush 1,60,0,53,2,static,world_decor,198,118
0,0,1,0,0,1,0,1,1,small_bush,2p,sav_001,Small Bush 2,22,0,54,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,small_bush,2p,sav_001,Small Bush 2,103,0,54,2,static,world_decor,198,118
0,0,1,0,0,0,0,1,0,small_bush,2p,sav_001,Small Bush 3,47,0,55,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,small_bush,2p,sav_001,Small Bush 3,152,0,55,2,static,world_decor,198,118
0,0,3,0,0,1,0,2,1,small_bush,2p,sav_001,Small Bush 4,20,0,56,1,static,world_decor,233,459
0,0,1,0,0,0,0,0,0,small_bush,2p,sav_001,Small Bush 4,86,0,56,2,static,world_decor,198,118
0,0,1,0,0,0,0,0,0,bush,2p,sav_001,Bush 1,61,0,57,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,bush,2p,sav_001,Bush 1,137,0,57,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,bush,2p,sav_001,Bush 2,138,0,58,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,bush,2p,sav_001,Bush 2,160,0,58,2,static,world_decor,198,118
0,0,2,0,0,0,0,1,0,bush,2p,sav_001,Bush 3,50,0,59,1,static,world_decor,233,459
0,0,2,0,0,1,0,2,2,bush,2p,sav_001,Bush 3,15,0,59,2,static,world_decor,198,118
0,0,3,0,0,0,0,0,0,bush,2p,sav_001,Bush 4,60,0,60,1,static,world_decor,233,459
0,0,5,0,0,1,0,3,2,bush,2p,sav_001,Bush 4,20,0,60,2,static,world_decor,198,118
0,0,2,0,0,0,0,0,0,bush,2p,sav_001,Bush 5,87,0,61,1,static,world_decor,233,459
0,0,6,1,0,1,0,3,2,bush,2p,sav_001,Bush 5,14,0,61,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,reed,2p,sav_001,Reed 2,371,0,63,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,reed,2p,sav_001,Reed 2,236,0,63,2,static,world_decor,198,118
0,0,0,0,0,0,0,0,0,reed,2p,sav_001,Reed 5,244,0,66,1,static,world_decor,233,459
0,0,0,0,0,0,0,0,0,reed,2p,sav_001,Reed 5,260,0,66,2,static,world_decor,198,118
0,0,9,0,0,0,0,4,1,adult_tree,2p,sav_001,Birch 1,29,0,68,1,static,world_decor,233,459
0,0,8,0,0,5,0,6,5,adult_tree,2p,sav_001,Birch 1,15,0,68,2,static,world_decor,198,118
0,0,21,0,0,0,0,5,0,adult_tree,2p,sav_001,Birch 2,43,0,69,1,static,world_decor,233,459
0,1,9,3,0,5,0,7,6,adult_tree,2p,sav_001,Birch 2,9,0,69,2,static,world_decor,198,118
0,0,24,0,0,0,0,2,1,adult_tree,2p,sav_001,Elm 1,27,0,70,1,static,world_decor,233,459
0,0,5,0,0,1,0,3,1,adult_tree,2p,sav_001,Elm 1,24,0,70,2,static,world_decor,198,118
0,0,26,0,0,2,0,3,3,adult_tree,2p,sav_001,Elm 2,21,0,71,1,static,world_decor,233,459
0,0,3,0,0,0,0,1,0,adult_tree,2p,sav_001,Elm 2,39,0,71,2,static,world_decor,198,118
0,0,18,1,0,3,0,8,6,adult_tree,2p,sav_001,Oak,13,0,72,1,static,world_decor,233,459
