byte9_nonzero,byte9_zero,cells,coords_count,family,group,map_id,name,object_id,pct_map,representation,role,terrain_counts
1,24,25,25,big_stone,2p,sav_001,Big Stone 1,1,0.004239,static,world_decor,"{""16"": 25}"
0,24,24,24,big_stone,2p,sav_001,Big Stone 2,2,0.004069,static,world_decor,"{""16"": 24}"
0,39,39,39,big_stone,2p,sav_001,Big Stone 3,3,0.006612,static,world_decor,"{""16"": 39}"
0,29,29,29,big_stone,2p,sav_001,Big Stone 4,4,0.004917,static,world_decor,"{""16"": 29}"
1,30,31,31,big_stone,2p,sav_001,Big Stone 5,5,0.005256,static,world_decor,"{""16"": 31}"
0,29,29,29,big_stone,2p,sav_001,Big Stone 6,6,0.004917,static,world_decor,"{""16"": 29}"
0,30,30,30,big_stone,2p,sav_001,Big Stone 7,7,0.005086,static,world_decor,"{""16"": 30}"
0,31,31,31,big_stone,2p,sav_001,Big Stone 8,8,0.005256,static,world_decor,"{""16"": 31}"
0,26,26,26,decorative_stone,2p,sav_001,Decorative Stone 1,9,0.004408,static,world_decor,"{""16"": 26}"
1,40,41,41,decorative_stone,2p,sav_001,Decorative Stone 2,10,0.006951,static,world_decor,"{""16"": 41}"
0,27,27,27,decorative_stone,2p,sav_001,Decorative Stone 3,11,0.004578,static,world_decor,"{""16"": 27}"
1,43,44,44,decorative_stone,2p,sav_001,Decorative Stone 4,12,0.00746,static,world_decor,"{""16"": 43, ""28"": 1}"
1,34,35,35,border_stone,2p,sav_001,Border Stone 1,13,0.005934,static,world_decor,"{""16"": 35}"
0,33,33,33,border_stone,2p,sav_001,Border Stone 2,14,0.005595,static,world_decor,"{""16"": 33}"
0,30,30,30,border_stone,2p,sav_001,Border Stone 3,15,0.005086,static,world_decor,"{""16"": 30}"
1,35,36,36,border_stone,2p,sav_001,Border Stone 4,16,0.006104,static,world_decor,"{""16"": 36}"
0,29,29,29,border_stone,2p,sav_001,Border Stone 5,17,0.004917,static,world_decor,"{""16"": 29}"
1,34,35,35,border_stone,2p,sav_001,Border Stone 6,18,0.005934,static,world_decor,"{""16"": 35}"
1,28,29,29,border_stone,2p,sav_001,Border Stone 7,19,0.004917,static,world_decor,"{""16"": 29}"
2,31,33,33,border_stone,2p,sav_001,Border Stone 8,20,0.005595,static,world_decor,"{""16"": 33}"
2,38,40,40,small_stone,2p,sav_001,Small Stone 1,21,0.006782,static,world_decor,"{""16"": 40}"
1,26,27,27,small_stone,2p,sav_001,Small Stone 2,22,0.004578,static,world_decor,"{""16"": 27}"
0,32,32,32,small_stone,2p,sav_001,Small Stone 3,23,0.005425,static,world_decor,"{""16"": 32}"
0,30,30,30,small_stone,2p,sav_001,Small Stone 4,24,0.005086,static,world_decor,"{""16"": 30}"
0,27,27,27,small_stone,2p,sav_001,Small Stone 5,25,0.004578,static,world_decor,"{""16"": 27}"
1,28,29,29,small_stone,2p,sav_001,Small Stone 6,26,0.004917,static,world_decor,"{""16"": 29}"
1,25,26,26,small_stone,2p,sav_001,Small Stone 7,27,0.004408,static,world_decor,"{""16"": 26}"
0,24,24,24,small_stone,2p,sav_001,Small Stone 8,28,0.004069,static,world_decor,"{""16"": 24}"
0,3,3,3,wreck,2p,sav_001,Wreck 1,29,0.000509,static,world_decor,"{""48"": 3}"
0,3,3,3,wreck,2p,sav_001,Wreck 3,31,0.000509,static,world_decor,"{""48"": 3}"
0,2,2,2,wreck,2p,sav_001,Wreck 4,32,0.000339,static,world_decor,"{""48"": 2}"
0,27,27,27,grave,2p,sav_001,Grave,34,0.004578,static,world_decor,"{""16"": 27}"
0,29,29,29,small_plant,2p,sav_001,Small Plant 1,35,0.004917,static,world_decor,"{""16"": 29}"
0,27,27,27,small_plant,2p,sav_001,Small Plant 2,36,0.004578,static,world_decor,"{""16"": 27}"
0,27,27,27,small_plant,2p,sav_001,Small Plant 3,37,0.004578,static,world_decor,"{""16"": 27}"
1,27,28,28,toadstool,2p,sav_001,Toadstool 1,38,0.004747,static,world_decor,"{""16"": 28}"
1,27,28,28,toadstool,2p,sav_001,Toadstool 2,39,0.004747,static,world_decor,"{""16"": 28}"
