map_id,group,x,y,family,raw_byte17,quantity,terrain_id,claim,side
sav_006,2p,86,637,fish,14,14,5,255,768
sav_006,2p,87,637,fish,3,3,5,255,768
sav_006,2p,91,637,fish,9,9,3,255,768
sav_006,2p,95,637,fish,4,4,3,255,768
sav_006,2p,96,637,fish,12,12,3,255,768
sav_006,2p,97,637,fish,5,5,3,255,768
sav_006,2p,99,637,fish,1,1,2,255,768
sav_006,2p,100,637,fish,8,8,1,255,768
sav_006,2p,101,637,fish,13,13,0,255,768
sav_006,2p,697,637,fish,5,5,1,255,768
sav_006,2p,703,637,fish,5,5,7,255,768
sav_006,2p,706,637,fish,5,5,7,255,768
sav_006,2p,707,637,fish,15,15,7,255,768
sav_006,2p,708,637,fish,4,4,7,255,768
sav_006,2p,709,637,fish,14,14,7,255,768
sav_006,2p,715,637,fish,1,1,7,255,768
sav_006,2p,719,637,fish,4,4,4,255,768
sav_006,2p,746,637,fish,12,12,4,255,768
sav_006,2p,747,637,fish,6,6,5,255,768
sav_006,2p,752,637,fish,13,13,7,255,768
sav_006,2p,756,637,fish,1,1,7,255,768
sav_006,2p,759,637,fish,9,9,7,255,768
sav_006,2p,760,637,fish,5,5,7,255,768
sav_006,2p,761,637,fish,2,2,7,255,768
sav_006,2p,766,637,fish,14,14,7,255,768
sav_006,2p,1,638,fish,14,14,7,255,768
sav_006,2p,4,638,fish,2,2,7,255,768
sav_006,2p,6,638,fish,6,6,7,255,768
sav_006,2p,9,638,fish,11,11,7,255,768
sav_006,2p,10,638,fish,8,8,7,255,768
sav_006,2p,13,638,fish,5,5,7,255,768
sav_006,2p,15,638,fish,5,5,7,255,768
sav_006,2p,18,638,fish,1,1,4,255,768
sav_006,2p,19,638,fish,13,13,4,255,768
sav_006,2p,20,638,fish,5,5,4,255,768
sav_006,2p,21,638,fish,9,9,4,255,768
sav_006,2p,22,638,fish,7,7,3,255,768
sav_006,2p,28,638,fish,1,1,3,255,768
sav_006,2p,30,638,fish,11,11,4,255,768
sav_006,2p,35,638,fish,1,1,1,255,768
sav_006,2p,36,638,fish,10,10,1,255,768
sav_006,2p,38,638,fish,4,4,0,255,768
sav_006,2p,40,638,fish,9,9,0,255,768
sav_006,2p,41,638,fish,8,8,1,255,768
sav_006,2p,42,638,fish,12,12,2,255,768
sav_006,2p,43,638,fish,9,9,3,255,768
sav_006,2p,44,638,fish,13,13,4,255,768
sav_006,2p,52,638,fish,4,4,7,255,768
sav_006,2p,57,638,fish,15,15,7,255,768
sav_006,2p,59,638,fish,4,4,7,255,768
sav_006,2p,60,638,fish,13,13,7,255,768
sav_006,2p,66,638,fish,8,8,7,255,768
sav_006,2p,67,638,fish,8,8,7,255,768
sav_006,2p,68,638,fish,14,14,7,255,768
sav_006,2p,69,638,fish,9,9,7,255,768
sav_006,2p,70,638,fish,12,12,6,255,768
sav_006,2p,73,638,fish,9,9,6,255,768
sav_006,2p,80,638,fish,9,9,7,255,768
sav_006,2p,82,638,fish,12,12,6,255,768
sav_006,2p,86,638,fish,1,1,6,255,768
sav_006,2p,89,638,fish,13,13,6,255,768
sav_006,2p,94,638,fish,14,14,4,255,768
sav_006,2p,95,638,fish,12,12,4,255,768
sav_006,2p,98,638,fish,2,2,4,255,768
sav_006,2p,104,638,fish,14,14,1,255,768
sav_006,2p,698,638,fish,1,1,1,255,768
sav_006,2p,704,638,fish,8,8,7,255,768
sav_006,2p,707,638,fish,3,3,7,255,768
sav_006,2p,718,638,fish,7,7,6,255,768
sav_006,2p,719,638,fish,13,13,5,255,768
sav_006,2p,724,638,fish,5,5,2,255,768
sav_006,2p,725,638,fish,3,3,1,255,768
sav_006,2p,741,638,fish,3,3,0,255,768
sav_006,2p,744,638,fish,9,9,2,255,768
sav_006,2p,745,638,fish,12,12,3,255,768
sav_006,2p,746,638,fish,7,7,4,255,768
sav_006,2p,748,638,fish,10,10,6,255,768
sav_006,2p,749,638,fish,8,8,7,255,768
sav_006,2p,750,638,fish,13,13,7,255,768
sav_006,2p,755,638,fish,13,13,7,255,768
sav_006,2p,756,638,fish,5,5,7,255,768
sav_006,2p,762,638,fish,7,7,7,255,768
sav_006,2p,763,638,fish,1,1,7,255,768
sav_006,2p,766,638,fish,8,8,7,255,768
sav_006,2p,1,639,fish,5,5,7,255,768
sav_006,2p,6,639,fish,7,7,7,255,768
sav_006,2p,8,639,fish,5,5,7,255,768
sav_006,2p,10,639,fish,2,2,7,255,768
sav_006,2p,18,639,fish,13,13,4,255,768
sav_006,2p,20,639,fish,15,15,3,255,768
sav_006,2p,21,639,fish,4,4,3,255,768
sav_006,2p,22,639,fish,1,1,3,255,768
sav_006,2p,23,639,fish,6,6,2,255,768
sav_006,2p,24,639,fish,11,11,2,255,768
sav_006,2p,25,639,fish,5,5,2,255,768
sav_006,2p,27,639,fish,1,1,2,255,768
sav_006,2p,29,639,fish,15,15,2,255,768
sav_006,2p,30,639,fish,12,12,3,255,768
sav_006,2p,32,639,fish,5,5,2,255,768
sav_006,2p,33,639,fish,11,11,1,255,768
sav_006,2p,36,639,fish,7,7,0,255,768
sav_006,2p,37,639,fish,6,6,0,255,768
sav_006,2p,42,639,fish,14,14,1,255,768
sav_006,2p,45,639,fish,10,10,4,255,768
sav_006,2p,46,639,fish,8,8,5,255,768
sav_006,2p,49,639,fish,13,13,7,255,768
sav_006,2p,55,639,fish,14,14,7,255,768
sav_006,2p,56,639,fish,13,13,7,255,768
sav_006,2p,60,639,fish,8,8,7,255,768
sav_006,2p,61,639,fish,4,4,7,255,768
sav_006,2p,67,639,fish,8,8,7,255,768
sav_006,2p,70,639,fish,10,10,7,255,768
sav_006,2p,76,639,fish,1,1,7,255,768
sav_006,2p,80,639,fish,15,15,7,255,768
sav_006,2p,83,639,fish,7,7,7,255,768
sav_006,2p,86,639,fish,4,4,7,255,768
sav_006,2p,89,639,fish,4,4,7,255,768
sav_006,2p,90,639,fish,7,7,6,255,768
sav_006,2p,96,639,fish,9,9,5,255,768
sav_006,2p,98,639,fish,11,11,5,255,768
sav_006,2p,104,639,fish,8,8,1,255,768
sav_006,2p,698,639,fish,2,2,0,255,768
sav_006,2p,699,639,fish,6,6,1,255,768
sav_006,2p,700,639,fish,9,9,2,255,768
sav_006,2p,701,639,fish,11,11,3,255,768
sav_006,2p,702,639,fish,4,4,4,255,768
sav_006,2p,704,639,fish,4,4,6,255,768
sav_006,2p,707,639,fish,12,12,7,255,768
sav_006,2p,710,639,fish,5,5,7,255,768
sav_006,2p,711,639,fish,7,7,7,255,768
sav_006,2p,716,639,fish,8,8,7,255,768
sav_006,2p,720,639,fish,8,8,5,255,768
sav_006,2p,723,639,fish,8,8,4,255,768
sav_006,2p,726,639,fish,14,14,1,255,768
sav_006,2p,730,639,fish,15,15,0,255,768
sav_006,2p,739,639,fish,4,4,0,255,768
sav_006,2p,741,639,fish,11,11,1,255,768
sav_006,2p,744,639,fish,5,5,2,255,768
sav_006,2p,746,639,fish,9,9,4,255,768
sav_006,2p,747,639,fish,4,4,5,255,768
sav_006,2p,748,639,fish,3,3,6,255,768
sav_006,2p,754,639,fish,13,13,7,255,768
sav_006,2p,757,639,fish,2,2,7,255,768
sav_006,2p,758,639,fish,4,4,7,255,768
