cells_max_per_map,cells_mean_per_map,cells_median_per_map,cells_min_per_map,cells_outside_expected_support,component_count_median,component_size_max_median,component_size_median,component_size_p90_median,family,group,maps,pct_map_median,quantity_1,quantity_10,quantity_11,quantity_12,quantity_13,quantity_14,quantity_15,quantity_2,quantity_3,quantity_4,quantity_5,quantity_6,quantity_7,quantity_8,quantity_9,quantity_counts,quantity_mean_pooled,quantity_median_pooled,stock_mean_per_map,stock_median_per_map,terrain_counts
20988,20040.75,20180.5,18692,0,1176.5,561.0,2.0,47.05000000000007,coal,2p,8,3.421444,10587,10832,10707,10603,10840,10671,10550,10821,10606,10620,10743,10750,10648,10680,10668,"{""1"": 10587, ""10"": 10832, ""11"": 10707, ""12"": 10603, ""13"": 10840, ""14"": 10671, ""15"": 10550, ""2"": 10821, ""3"": 10606, ""4"": 10620, ""5"": 10743, ""6"": 10750, ""7"": 10648, ""8"": 10680, ""9"": 10668}",8.000118508538852,8.0,160328.375,161214.0,{}
9584,8735.25,8633.5,7605,0,519.5,205.5,3.0,52.349999999999994,iron,2p,8,1.4637419999999999,4771,4580,4685,4646,4621,4579,4661,4659,4665,4664,4732,4673,4677,4570,4699,"{""1"": 4771, ""10"": 4580, ""11"": 4685, ""12"": 4646, ""13"": 4621, ""14"": 4579, ""15"": 4661, ""2"": 4659, ""3"": 4665, ""4"": 4664, ""5"": 4732, ""6"": 4673, ""7"": 4677, ""8"": 4570, ""9"": 4699}",7.9735697318336625,8.0,69651.125,68903.0,{}
6734,5766.0,5731.0,4908,0,289.0,178.0,5.0,59.0,gold,2p,8,0.971646,3073,3054,3057,3027,3102,3009,3113,3061,3040,3114,3099,3076,3121,3023,3159,"{""1"": 3073, ""10"": 3054, ""11"": 3057, ""12"": 3027, ""13"": 3102, ""14"": 3009, ""15"": 3113, ""2"": 3061, ""3"": 3040, ""4"": 3114, ""5"": 3099, ""6"": 3076, ""7"": 3121, ""8"": 3023, ""9"": 3159}",7.995620881026708,8.0,46102.75,45607.0,{}
2283,2078.0,2092.5,1819,0,103.5,99.0,7.0,53.80000000000001,gems,2p,8,0.354767,1134,1107,1142,1104,1091,1109,1077,1120,1049,1103,1181,1096,1093,1126,1092,"{""1"": 1134, ""10"": 1107, ""11"": 1142, ""12"": 1104, ""13"": 1091, ""14"": 1109, ""15"": 1077, ""2"": 1120, ""3"": 1049, ""4"": 1103, ""5"": 1181, ""6"": 1096, ""7"": 1093, ""8"": 1126, ""9"": 1092}",7.97912656400385,8.0,16580.625,16513.0,{}
3552,3204.125,3219.5,2712,0,136.5,118.5,11.75,57.0,sulfur,2p,8,0.545841,1745,1690,1709,1651,1681,1710,1691,1771,1774,1755,1705,1679,1679,1727,1666,"{""1"": 1745, ""10"": 1690, ""11"": 1709, ""12"": 1651, ""13"": 1681, ""14"": 1710, ""15"": 1691, ""2"": 1771, ""3"": 1774, ""4"": 1755, ""5"": 1705, ""6"": 1679, ""7"": 1679, ""8"": 1727, ""9"": 1666}",7.937424413841533,8.0,25432.5,25343.5,{}
41677,39824.125,39937.0,37897,0,481.5,3588.5,3.0,147.50000000000006,minerals,2p,8,6.771003,21310,21263,21300,21031,21335,21078,21092,21432,21134,21256,21460,21274,21218,21126,21284,"{""1"": 21310, ""10"": 21263, ""11"": 21300, ""12"": 21031, ""13"": 21335, ""14"": 21078, ""15"": 21092, ""2"": 21432, ""3"": 21134, ""4"": 21256, ""5"": 21460, ""6"": 21274, ""7"": 21218, ""8"": 21126, ""9"": 21284}",7.987504433556293,8.0,318095.375,318893.5,{}
47620,45522.75,46071.0,40933,0,8822.0,151.0,2.0,12.5,fish,2p,8,7.810974,30100,23879,23717,24077,23823,23700,23521,24142,23986,24083,23763,23809,23903,23745,23934,"{""1"": 30100, ""10"": 23879, ""11"": 23717, ""12"": 24077, ""13"": 23823, ""14"": 23700, ""15"": 23521, ""2"": 24142, ""3"": 23986, ""4"": 24083, ""5"": 23763, ""6"": 23809, ""7"": 23903, ""8"": 23745, ""9"": 23934}",7.86404874485834,8.0,357993.125,362478.0,{}
0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,unknown,2p,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",0.0,0.0,0.0,0.0,{}
20853,20116.625,20291.0,18745,0,1212.5,562.5,2.0,46.5,coal,20p,8,3.4401785,10759,10711,10529,10907,10810,10752,10695,10657,10821,10768,10688,10629,10757,10717,10733,"{""1"": 10759, ""10"": 10711, ""11"": 10529, ""12"": 10907, ""13"": 10810, ""14"": 10752, ""15"": 10695, ""2"": 10657, ""3"": 10821, ""4"": 10768, ""5"": 10688, ""6"": 10629, ""7"": 10757, ""8"": 10717, ""9"": 10733}",8.001777137069464,8.0,160968.75,161725.5,{}
9184,8721.5,8739.0,8068,0,532.5,185.0,3.0,50.20000000000002,iron,20p,8,1.4816285,4652,4676,4743,4557,4648,4640,4614,4559,4784,4741,4578,4580,4602,4753,4645,"{""1"": 4652, ""10"": 4676, ""11"": 4743, ""12"": 4557, ""13"": 4648, ""14"": 4640, ""15"": 4614, ""2"": 4559, ""3"": 4784, ""4"": 4741, ""5"": 4578, ""6"": 4580, ""7"": 4602, ""8"": 4753, ""9"": 4645}",7.99332110302127,8.0,69713.75,69509.0,{}
