cells_r0_median,cells_r100_median,cells_r10_median,cells_r14_median,cells_r25_median,cells_r2_median,cells_r50_median,cells_r5_median,family,group,nearest_hex_max,nearest_hex_median,nearest_hex_min,starts,stock_r0_median,stock_r100_median,stock_r10_median,stock_r14_median,stock_r25_median,stock_r2_median,stock_r50_median,stock_r5_median
0.0,1263.5,0.0,0.0,0.0,0.0,45.0,0.0,coal,2p,59,43.5,37,16,0.0,9968.5,0.0,0.0,0.0,0.0,343.0,0.0
0.0,579.0,0.0,0.0,0.0,0.0,8.0,0.0,iron,2p,61,45.0,38,16,0.0,4536.5,0.0,0.0,0.0,0.0,49.0,0.0
0.0,411.5,0.0,0.0,0.0,0.0,5.5,0.0,gold,2p,57,48.0,37,16,0.0,3291.0,0.0,0.0,0.0,0.0,34.0,0.0
0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,gems,2p,77,51.0,39,16,0.0,763.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,sulfur,2p,88,53.0,42,16,0.0,1640.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2644.0,0.0,0.0,0.0,0.0,83.5,0.0,minerals,2p,56,42.5,37,16,0.0,21000.0,0.0,0.0,0.0,0.0,644.0,0.0
0.0,463.5,0.0,0.0,0.0,0.0,39.0,0.0,fish,2p,134,35.5,17,16,0.0,3636.0,0.0,0.0,0.0,0.0,324.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,2p,,0.0,,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1312.0,0.0,0.0,0.0,0.0,162.0,0.0,coal,20p,71,29.0,5,160,0.0,10452.0,0.0,0.0,0.0,0.0,1286.5,0.0
0.0,538.0,0.0,0.0,0.0,0.0,52.5,0.0,iron,20p,75,36.5,5,160,0.0,4232.5,0.0,0.0,0.0,0.0,441.5,0.0
0.0,351.0,0.0,0.0,0.0,0.0,39.0,0.0,gold,20p,73,39.0,7,160,0.0,2828.0,0.0,0.0,0.0,0.0,317.5,0.0
0.0,123.5,0.0,0.0,0.0,0.0,8.0,0.0,gems,20p,119,45.0,5,160,0.0,1010.0,0.0,0.0,0.0,0.0,63.5,0.0
0.0,170.5,0.0,0.0,0.0,0.0,10.0,0.0,sulfur,20p,154,44.0,12,160,0.0,1322.5,0.0,0.0,0.0,0.0,81.0,0.0
0.0,2449.0,0.0,0.0,0.0,0.0,334.0,0.0,minerals,20p,70,29.0,5,160,0.0,19666.0,0.0,0.0,0.0,0.0,2680.5,0.0
0.0,746.5,0.0,0.0,0.0,0.0,38.0,0.0,fish,20p,118,38.0,7,160,0.0,6054.5,0.0,0.0,0.0,0.0,302.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,20p,,0.0,,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
