cells,cells_outside_expected_support,component_count,component_elongation_median,component_perimeter_sqrt_area_median,component_size_max,component_size_median,component_size_p90,edge_component_count,family,group,map_id,pct_map,quantity_1,quantity_10,quantity_11,quantity_12,quantity_13,quantity_14,quantity_15,quantity_2,quantity_3,quantity_4,quantity_5,quantity_6,quantity_7,quantity_8,quantity_9,quantity_counts,quantity_max,quantity_mean,quantity_median,quantity_min,stock,terrain_counts
20988,0,1145,1.4151180660011415,7.071067811865475,658,2.0,50.0,0,coal,2p,sav_001,3.55835,1333,1487,1466,1354,1375,1390,1386,1399,1380,1436,1430,1416,1383,1353,1400,"{""1"": 1333, ""10"": 1487, ""11"": 1466, ""12"": 1354, ""13"": 1375, ""14"": 1390, ""15"": 1386, ""2"": 1399, ""3"": 1380, ""4"": 1436, ""5"": 1430, ""6"": 1416, ""7"": 1383, ""8"": 1353, ""9"": 1400}",15,8.011006289308176,8.0,1,168135,"{""128"": 2821, ""129"": 507, ""32"": 15653, ""33"": 1410, ""34"": 6, ""35"": 591}"
8304,0,454,1.7320508075688772,7.071067811865475,271,3.0,56.69999999999999,0,iron,2p,sav_001,1.407878,576,570,550,519,561,562,547,584,543,494,591,551,546,552,558,"{""1"": 576, ""10"": 570, ""11"": 550, ""12"": 519, ""13"": 561, ""14"": 562, ""15"": 547, ""2"": 584, ""3"": 543, ""4"": 494, ""5"": 591, ""6"": 551, ""7"": 546, ""8"": 552, ""9"": 558}",15,7.973747591522158,8.0,1,66214,"{""128"": 1059, ""129"": 166, ""32"": 6231, ""33"": 647, ""35"": 201}"
5392,0,288,1.6853367063631386,8.049844718999243,175,3.5,54.30000000000001,0,gold,2p,sav_001,0.914171,372,371,337,366,355,363,346,354,358,361,343,377,371,339,379,"{""1"": 372, ""10"": 371, ""11"": 337, ""12"": 366, ""13"": 355, ""14"": 363, ""15"": 346, ""2"": 354, ""3"": 358, ""4"": 361, ""5"": 343, ""6"": 377, ""7"": 371, ""8"": 339, ""9"": 379}",15,7.973108308605341,8.0,1,42991,"{""128"": 766, ""129"": 151, ""32"": 3868, ""33"": 440, ""34"": 1, ""35"": 166}"
2283,0,127,1.8011132989443566,8.981462390204987,106,6.0,55.0,0,gems,2p,sav_001,0.387065,129,142,160,138,162,182,159,150,148,160,163,148,160,138,144,"{""1"": 129, ""10"": 142, ""11"": 160, ""12"": 138, ""13"": 162, ""14"": 182, ""15"": 159, ""2"": 150, ""3"": 148, ""4"": 160, ""5"": 163, ""6"": 148, ""7"": 160, ""8"": 138, ""9"": 144}",15,8.151992991677616,8.0,1,18611,"{""128"": 253, ""129"": 57, ""32"": 1733, ""33"": 170, ""34"": 1, ""35"": 69}"
3332,0,178,1.828721515555586,8.082903768654761,107,5.0,57.0,0,sulfur,2p,sav_001,0.564914,233,209,211,214,227,228,233,256,207,218,219,206,234,222,215,"{""1"": 233, ""10"": 209, ""11"": 211, ""12"": 214, ""13"": 227, ""14"": 228, ""15"": 233, ""2"": 256, ""3"": 207, ""4"": 218, ""5"": 219, ""6"": 206, ""7"": 234, ""8"": 222, ""9"": 215}",15,7.963685474189676,8.0,1,26535,"{""128"": 536, ""129"": 94, ""32"": 2366, ""33"": 191, ""34"": 1, ""35"": 144}"
40299,0,455,1.7271574357677484,7.071067811865475,4199,3.0,137.80000000000007,0,minerals,2p,sav_001,6.832377,2643,2779,2724,2591,2680,2725,2671,2743,2636,2669,2746,2698,2694,2604,2696,"{""1"": 2643, ""10"": 2779, ""11"": 2724, ""12"": 2591, ""13"": 2680, ""14"": 2725, ""15"": 2671, ""2"": 2743, ""3"": 2636, ""4"": 2669, ""5"": 2746, ""6"": 2698, ""7"": 2694, ""8"": 2604, ""9"": 2696}",15,8.002332564083476,8.0,1,322486,"{""128"": 5435, ""129"": 975, ""32"": 29851, ""33"": 2858, ""34"": 9, ""35"": 1171}"
46021,0,8741,1.7320508075688772,7.071067811865475,145,2.0,13.0,18,fish,2p,sav_001,7.802497,4156,2953,2939,3015,2962,3002,2955,3036,3038,2971,3097,2967,2924,2989,3017,"{""1"": 4156, ""10"": 2953, ""11"": 2939, ""12"": 3015, ""13"": 2962, ""14"": 3002, ""15"": 2955, ""2"": 3036, ""3"": 3038, ""4"": 2971, ""5"": 3097, ""6"": 2967, ""7"": 2924, ""8"": 2989, ""9"": 3017}",15,7.79956976163056,8.0,1,358944,"{""0"": 3858, ""1"": 3518, ""2"": 3090, ""3"": 2843, ""4"": 2578, ""5"": 2365, ""6"": 2161, ""7"": 25608}"
0,0,0,0.0,0.0,0,0.0,0.0,0,unknown,2p,sav_001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",0,0.0,0.0,0,0,{}
19983,0,1158,1.4978973026004159,7.071067811865475,561,2.0,48.299999999999955,0,coal,2p,sav_002,3.38796,1307,1328,1307,1328,1435,1287,1350,1276,1353,1279,1378,1310,1347,1336,1362,"{""1"": 1307, ""10"": 1328, ""11"": 1307, ""12"": 1328, ""13"": 1435, ""14"": 1287, ""15"": 1350, ""2"": 1276, ""3"": 1353, ""4"": 1279, ""5"": 1378, ""6"": 1310, ""7"": 1347, ""8"": 1336, ""9"": 1362}",15,8.0405844968223,8.0,1,160675,"{""128"": 2429, ""129"": 459, ""32"": 15087, ""33"": 1483, ""34"": 7, ""35"": 518}"
8638,0,520,1.6533285765594021,7.071067811865475,184,3.0,55.200000000000045,0,iron,2p,sav_002,1.464505,580,563,559,618,548,580,585,570,568,577,570,542,590,579,609,"{""1"": 580, ""10"": 563, ""11"": 559, ""12"": 618, ""13"": 548, ""14"": 580, ""15"": 585, ""2"": 570, ""3"": 568, ""4"": 577, ""5"": 570, ""6"": 542, ""7"": 590, ""8"": 579, ""9"": 609}",15,8.021648529752257,8.0,1,69291,"{""128"": 1062, ""129"": 220, ""32"": 6416, ""33"": 633, ""34"": 8, ""35"": 299}"
5748,0,290,1.7730059022312243,8.16496580927726,232,5.0,57.0,0,gold,2p,sav_002,0.974528,384,394,399,383,371,351,366,427,358,370,385,390,382,377,411,"{""1"": 384, ""10"": 394, ""11"": 399, ""12"": 383, ""13"": 371, ""14"": 351, ""15"": 366, ""2"": 427, ""3"": 358, ""4"": 370, ""5"": 385, ""6"": 390, ""7"": 382, ""8"": 377, ""9"": 411}",15,7.932846207376479,8.0,1,45598,"{""128"": 799, ""129"": 136, ""32"": 4263, ""33"": 419, ""34"": 1, ""35"": 130}"
2014,0,99,1.7041581445919478,8.94427190999916,86,8.0,50.60000000000001,0,gems,2p,sav_002,0.341458,132,148,115,135,129,116,126,136,136,132,162,129,144,136,138,"{""1"": 132, ""10"": 148, ""11"": 115, ""12"": 135, ""13"": 129, ""14"": 116, ""15"": 126, ""2"": 136, ""3"": 136, ""4"": 132, ""5"": 162, ""6"": 129, ""7"": 144, ""8"": 136, ""9"": 138}",15,7.8540218470705065,8.0,1,15818,"{""128"": 335, ""129"": 61, ""32"": 1419, ""33"": 152, ""34"": 2, ""35"": 45}"
3508,0,132,1.7432356463569878,9.913538149119955,117,16.0,69.9,0,sulfur,2p,sav_002,0.594754,236,214,215,245,228,235,216,264,229,263,256,229,208,231,239,"{""1"": 236, ""10"": 214, ""11"": 215, ""12"": 245, ""13"": 228, ""14"": 235, ""15"": 216, ""2"": 264, ""3"": 229, ""4"": 263, ""5"": 256, ""6"": 229, ""7"": 208, ""8"": 231, ""9"": 239}",15,7.853762827822121,8.0,1,27551,"{""128"": 381, ""129"": 66, ""32"": 2692, ""33"": 285, ""35"": 84}"
39891,0,415,1.785786205753577,8.082903768654761,6770,4.0,167.0000000000001,0,minerals,2p,sav_002,6.763204,2639,2647,2595,2709,2711,2569,2643,2673,2644,2621,2751,2600,2671,2659,2759,"{""1"": 2639, ""10"": 2647, ""11"": 2595, ""12"": 2709, ""13"": 2711, ""14"": 2569, ""15"": 2643, ""2"": 2673, ""3"": 2644, ""4"": 2621, ""5"": 2751, ""6"": 2600, ""7"": 2671, ""8"": 2659, ""9"": 2759}",15,7.995111679326164,8.0,1,318933,"{""128"": 5006, ""129"": 942, ""32"": 29877, ""33"": 2972, ""34"": 18, ""35"": 1076}"
