adjacent_water_pct_mean_when_present,bbox_fill_median_when_present,component_count_median_when_present,component_size_median_when_present,component_size_p90_when_present,distance_to_edge_median_when_present,distance_to_start_median_when_present,distance_to_water_median_when_present,edge_pct_mean_when_present,elongation_median_when_present,family,height_median_when_present,holes_mean_cells_when_present,ids,maps_present,mean_cells_all_maps,mean_pct_land_all_maps,mean_pct_map_all_maps,name,perimeter_sqrt_area_median_when_present,representation,total_cells
0.0,0.0,0.0,0.0,0.0,134.0,152.0,0.0,0.0,0.0,desert,54.0,51.3125,"20,64,65",16,20938.0625,4.496674875,3.5498831875,Desert family,0.0,raw,335009
0.0,0.0,0.0,0.0,0.0,129.0,147.0,0.0,0.0,0.0,grass,51.0,0.0,"16,18,19,24",16,325292.8125,69.8545609375,55.15082674999999,Grass,0.0,raw,5204685
0.0,0.0,0.0,0.0,0.0,178.0,124.0,0.0,0.0,0.0,mountain_core,127.5,0.0,"32,34",16,55440.875,11.905886062499999,9.399562374999999,Rocky core,0.0,raw,887054
0.0,0.0,0.0,0.0,0.0,178.0,122.5,0.0,0.0,0.0,mountain_full,128.0,1328.125,"17,32,33,34,35,128,129",16,83242.5625,17.877045624999997,14.113118937500001,Full mountain family,0.0,raw,1331881
0.0,0.0,0.0,0.0,0.0,156.5,101.0,0.0,0.0,0.0,mud,57.5,2.0625,"23,144,145",16,2847.125,0.610878375,0.4827075625,Mud family,0.0,raw,45554
0.0,0.0,0.0,0.0,0.0,152.25,2.0,0.0,0.0,0.0,other_observed,50.5,0.0,,16,346.125,0.0741865,0.0586828125,other_observed,0.0,raw,5538
0.0,0.0,0.0,0.0,0.0,70.5,179.0,0.0,0.0,0.0,river,21.0,0.0,"96,97,98,99",16,9719.875,2.0894046875,1.6479280625000001,River,0.0,raw,155518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runtime_agriculture,0.0,0.0,22,0,0.0,0.0,0.0,Runtime agriculture,0.0,raw,0
0.0,0.0,0.0,0.0,0.0,59.0,181.5,0.0,0.0,0.0,shore,0.0,0.0,48,16,21040.125,4.5224233125,3.5671870625,Shore,0.0,raw,336642
0.0,0.0,0.0,0.0,0.0,188.5,115.0,0.0,0.0,0.0,snow,166.5,122.5625,"35,128,129",16,14044.625,3.0161708750000003,2.3811551875,Snow family,0.0,raw,224714
0.0,0.0,0.0,0.0,0.0,126.0,130.5,0.0,0.0,0.0,swamp,54.0,2.625,"21,80,81",16,2210.4375,0.47482575000000005,0.37476224999999996,Swamp family,0.0,raw,35367
0.0,0.0,0.0,0.0,0.0,21.0,209.5,0.0,2.476414625,0.0,water,0.0,0.0,"0,1,2,3,4,5,6,7",16,124186.875,0.0,21.054903625,Water,0.0,raw,1986990
0.0,1.0,347.5,1.0,83.1,134.0,152.0,31.5,0.0,1.0,desert,54.0,51.3125,"20,64,65",16,20938.0625,4.496674875,3.5498831875,Desert family,6.0,normalized,335009
0.0,0.8333333333333334,92.0,2.0,52.80000000000002,129.0,147.0,27.0,0.0,1.7150243911713112,grass,51.0,0.0,"16,18,19,24",16,325638.9375,69.928747375,55.2095095625,Grass,7.071067811865475,normalized,5210223
0.0,0.550234792143402,39.5,17.75,3776.5500000000015,178.0,124.0,59.5,0.0,2.0692708893250336,mountain_core,127.5,0.0,"32,34",16,55440.875,11.905886062499999,9.399562374999999,Rocky core,8.711290901503014,normalized,887054
0.0,0.596875,59.0,4.5,2856.500000000011,178.0,122.5,60.5,0.0,1.7933508091446613,mountain_full,128.0,1328.125,"17,32,33,34,35,128,129",16,83242.5625,17.877045624999997,14.113118937500001,Full mountain family,8.123934788966011,normalized,1331881
0.0,1.0,216.5,1.0,25.099999999999994,156.5,101.0,31.0,0.0,1.0,mud,57.5,2.0625,"23,144,145",16,2847.125,0.610878375,0.4827075625,Mud family,6.0,normalized,45554
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other_observed,0.0,0.0,,0,0.0,0.0,0.0,other_observed,0.0,normalized,0
7.164988875,0.15597492784992784,320.5,26.0,48.099999999999994,70.5,179.0,9.0,0.0,3.8911636290809857,river,21.0,0.0,"96,97,98,99",16,9719.875,2.0894046875,1.6479280625000001,River,20.788310324647508,normalized,155518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,runtime_agriculture,0.0,0.0,22,0,0.0,0.0,0.0,Runtime agriculture,0.0,normalized,0
45.273707,0.378987678987679,348.0,36.0,134.29999999999998,59.0,181.5,2.0,0.0,3.075601362283524,shore,0.0,0.0,48,16,21040.125,4.5224233125,3.5671870625,Shore,12.021767769235545,normalized,336642
0.0,0.5397870211549456,37.0,13.5,1040.5000000000005,188.5,115.0,71.0,0.0,1.9784351844531851,snow,166.5,122.5625,"35,128,129",16,14044.625,3.0161708750000003,2.3811551875,Snow family,9.059410371110708,normalized,224714
0.0,1.0,241.0,1.0,25.64999999999999,126.0,130.5,31.0,0.0,1.0,swamp,54.0,2.625,"21,80,81",16,2210.4375,0.47482575000000005,0.37476224999999996,Swamp family,6.0,normalized,35367
99.9868774375,0.5555555555555556,71.5,11.0,550.75,21.0,209.5,0.0,2.476414625,1.9586129073669174,water,0.0,0.0,"0,1,2,3,4,5,6,7",16,124186.875,0.0,21.054903625,Water,8.381156596334144,normalized,1986990
