checksum_ok,file_size,group,map_id,normalized_family_desert,normalized_family_grass,normalized_family_mountain_core,normalized_family_mountain_full,normalized_family_mud,normalized_family_other_observed,normalized_family_river,normalized_family_runtime_agriculture,normalized_family_shore,normalized_family_snow,normalized_family_swamp,normalized_family_water,normalized_id_0,normalized_id_1,normalized_id_128,normalized_id_129,normalized_id_144,normalized_id_145,normalized_id_16,normalized_id_17,normalized_id_18,normalized_id_19,normalized_id_2,normalized_id_20,normalized_id_21,normalized_id_23,normalized_id_24,normalized_id_3,normalized_id_32,normalized_id_33,normalized_id_34,normalized_id_35,normalized_id_4,normalized_id_48,normalized_id_5,normalized_id_6,normalized_id_64,normalized_id_65,normalized_id_7,normalized_id_80,normalized_id_81,normalized_id_96,normalized_id_97,normalized_id_98,normalized_id_99,normalized_water_pct,players,raw_id_0,raw_id_1,raw_id_128,raw_id_129,raw_id_144,raw_id_145,raw_id_16,raw_id_17,raw_id_18,raw_id_19,raw_id_2,raw_id_20,raw_id_21,raw_id_23,raw_id_24,raw_id_28,raw_id_3,raw_id_32,raw_id_33,raw_id_34,raw_id_35,raw_id_4,raw_id_48,raw_id_5,raw_id_6,raw_id_64,raw_id_65,raw_id_7,raw_id_80,raw_id_81,raw_id_96,raw_id_97,raw_id_98,raw_id_99,raw_water_pct,sha256,side,source,starts
True,18217620,2p,sav_001,24193,319976,57132,82467,1968,0,9557,0,22536,13952,2130,126997,10224,9338,10012,1764,236,403,307865,6111,126,105,8323,6011,1553,1329,11880,7596,57117,5272,15,2176,6951,22536,6354,5759,14353,3829,72452,121,456,7524,1722,250,61,21.53133816189236,2,10224,9338,10012,1764,236,403,307811,6111,126,105,8323,6011,1553,1329,11880,54,7596,57117,5272,15,2176,6951,22536,6354,5759,14353,3829,72452,121,456,7524,1722,250,61,21.53133816189236,f4bab58eabfadf9406e9a709f1969e25237b536ce7b6713cbc542f703fdcab3b,768,8 maps 768 2 joueurs.zip::768 2 joueurs (1).sav,2
True,18215928,2p,sav_002,19593,326006,56025,81754,2315,0,9148,0,21214,13692,2109,127685,9531,8875,9923,1735,292,559,312161,6446,135,147,8133,5272,1579,1464,13563,7413,55996,5591,29,2034,6740,21214,6125,5545,11075,3246,75323,114,416,7635,1232,172,109,21.64798312717014,2,9531,8875,9923,1735,292,559,312102,6446,135,147,8133,5272,1579,1464,13563,59,7413,55996,5591,29,2034,6740,21214,6125,5545,11075,3246,75323,114,416,7635,1232,172,109,21.64798312717014,a9729609f424932e36a5f4f7ec504826c4caaebf1aef34628509b9e6dc8ab17b,768,8 maps 768 2 joueurs.zip::768 2 joueurs (2).sav,2
True,18213652,2p,sav_003,20288,316463,52855,82203,2698,0,12986,0,22540,13678,1450,131196,10619,9963,9304,1939,365,558,306559,8548,112,126,8993,6286,1119,1775,9666,8228,52832,7122,23,2435,7435,22540,6704,6045,10241,3761,73209,92,239,10415,2105,403,63,22.243245442708336,2,10619,9963,9304,1939,365,558,306493,8548,112,126,8993,6286,1119,1775,9666,66,8228,52832,7122,23,2435,7435,22540,6704,6045,10241,3761,73209,92,239,10415,2105,403,63,22.243245442708336,00ea0f8422b85f7a3b180ada65e5310565f5da9a0b4dee7dabb05ac0b3159dc0,768,8 maps 768 2 joueurs.zip::768 2 joueurs (3).sav,2
True,18216168,2p,sav_004,20667,322451,54505,82247,3374,0,8964,0,23199,14086,2214,126708,10265,9304,9632,1981,550,794,310349,7330,126,97,8371,5703,1633,2030,11879,7647,54489,6326,16,2473,6979,23199,6425,5958,11490,3474,71759,158,423,7615,1132,200,17,21.482340494791664,2,10265,9304,9632,1981,550,794,310283,7330,126,97,8371,5703,1633,2030,11879,66,7647,54489,6326,16,2473,6979,23199,6425,5958,11490,3474,71759,158,423,7615,1132,200,17,21.482340494791664,9458919340a1fc3b69be0662c05145faa3475499f5c399bdf9855d4f22411cd3,768,8 maps 768 2 joueurs.zip::768 2 joueurs (4).sav,2
True,18215020,2p,sav_005,22855,326569,56421,84165,4387,0,8680,0,18071,14197,2645,122452,8164,7482,9502,2036,864,1063,314041,7316,157,153,6779,6430,2024,2460,12218,6253,56401,6231,20,2659,5828,18071,5510,5239,12490,3935,77197,102,519,6862,1492,243,83,20.76076931423611,2,8164,7482,9502,2036,864,1063,313975,7316,157,153,6779,6430,2024,2460,12218,66,6253,56401,6231,20,2659,5828,18071,5510,5239,12490,3935,77197,102,519,6862,1492,243,83,20.76076931423611,b57770047ee4ea096e97a90213ad94ad9396aa741e46de8b3901fa8aea82b988,768,8 maps 768 2 joueurs.zip::768 2 joueurs (5).sav,2
True,18214502,2p,sav_006,22311,322588,56111,83469,2172,0,10649,0,20428,14099,1394,126813,9373,8864,9334,2140,297,471,309764,7073,119,113,8200,6438,1135,1404,12592,7528,56089,6186,22,2625,6844,20428,6264,5814,11873,4000,73926,25,234,8490,1731,313,115,21.500142415364586,2,9373,8864,9334,2140,297,471,309698,7073,119,113,8200,6438,1135,1404,12592,66,7528,56089,6186,22,2625,6844,20428,6264,5814,11873,4000,73926,25,234,8490,1731,313,115,21.500142415364586,c0147de883430c4f250b28b1ee56146a3a5bed63bfe527daeed9a129d0ce6b30,768,8 maps 768 2 joueurs.zip::768 2 joueurs (6).sav,2
True,18215296,2p,sav_007,23948,334749,58808,85415,2862,0,8713,0,19000,14748,2092,113045,8470,7680,10164,2005,460,712,318591,6249,118,115,6980,6800,1643,1690,15925,6341,58769,5610,39,2579,5883,19000,5504,5162,12925,4223,67025,77,372,6978,1534,159,42,19.16588677300347,2,8470,7680,10164,2005,460,712,318525,6249,118,115,6980,6800,1643,1690,15925,66,6341,58769,5610,39,2579,5883,19000,5504,5162,12925,4223,67025,77,372,6978,1534,159,42,19.16588677300347,fa6660e4e50be36360f1d9584f31985b9fddc8623c51a89b63ba39722fe0305c,768,8 maps 768 2 joueurs.zip::768 2 joueurs (7).sav,2
True,18215594,2p,sav_008,20201,324135,54360,82516,2196,0,8814,0,20148,13780,2870,128944,9076,8373,8942,2167,193,420,313588,7691,131,91,7616,5989,2132,1583,10325,7045,54334,6685,26,2671,6472,20148,6022,5594,10555,3657,78746,169,569,7157,1354,235,68,21.861436631944446,2,9076,8373,8942,2167,193,420,313522,7691,131,91,7616,5989,2132,1583,10325,66,7045,54334,6685,26,2671,6472,20148,6022,5594,10555,3657,78746,169,569,7157,1354,235,68,21.861436631944446,bd4236a280b88d1a0d34cd2788d7937147b212b4779f1ce5e7a010cf237692d8,768,8 maps 768 2 joueurs.zip::768 2 joueurs (8).sav,2
True,18783070,20p,sav_009,23370,323299,57016,83400,3547,0,10796,0,21130,14097,2216,122066,9545,8750,9582,1966,614,826,307095,6477,121,131,7893,6229,1750,2107,15952,7180,56982,5810,34,2549,6543,21130,6026,5585,13149,3992,70544,100,366,8511,1864,401,20,20.695326063368054,20,9545,8750,9582,1966,614,826,306465,6477,121,131,7893,6229,1750,2107,15952,630,7180,56982,5810,34,2549,6543,21130,6026,5585,13149,3992,70544,100,366,8511,1864,401,20,20.695326063368054,115cc8ba6c8929b7a847a707744263bfb988f22c42d2b15e13a0ee1eb255ea71,768,8 maps 768 20 joueurs.zip::768 20 joueurs (1).sav,20
True,18782650,20p,sav_010,18234,320709,54175,81772,2200,0,10808,0,23376,13776,2818,129907,10567,9570,9970,1730,260,438,308869,7520,127,95,8626,6103,2088,1502,11618,7699,54138,6301,37,2076,6861,23376,6226,5712,8563,3568,74646,175,555,8598,1832,278,100,22.024705674913196,20,10567,9570,9970,1730,260,438,308242,7520,127,95,8626,6103,2088,1502,11618,627,7699,54138,6301,37,2076,6861,23376,6226,5712,8563,3568,74646,175,555,8598,1832,278,100,22.024705674913196,e280b5c87adc08f0936e3329cde273bb86be884e4e71f3b1f30799b07dfd07e8,768,8 maps 768 20 joueurs.zip::768 20 joueurs (2).sav,20
