adjacent_water_pct_mean_when_present,bbox_fill_median_when_present,component_size_median_when_present,component_size_p90_when_present,distance_to_edge_median_when_present,distance_to_start_median_when_present,distance_to_water_median_when_present,edge_pct_mean_when_present,elongation_median_when_present,height_median_when_present,id,maps_present,max_cells_all_maps,mean_cells_all_maps,mean_components_when_present,mean_pct_land_all_maps,mean_pct_map_all_maps,median_cells_all_maps,min_cells_all_maps,name,perimeter_sqrt_area_median_when_present,representation,total_cells
0.0,0.0,0.0,0.0,54.0,187.5,0.0,0.0,0.0,0.0,0,16,10619,9520.6875,0.0,0.0,1.6141573125000002,9550.5,7647,Water 1,0.0,raw,152331
0.0,0.0,0.0,0.0,51.0,190.5,0.0,0.0,0.0,0.0,1,16,9963,8744.375,0.0,0.0,1.4825396875,8807.0,7165,Water 2,0.0,raw,139910
0.0,0.0,0.0,0.0,47.0,193.5,0.0,0.0,0.0,0.0,2,16,8993,7922.6875,0.0,0.0,1.343229125,8013.0,6698,Water 3,0.0,raw,126763
0.0,0.0,0.0,0.0,43.0,195.5,0.0,0.0,0.0,0.0,3,16,8228,7225.8125,0.0,0.0,1.225079375,7296.5,6188,Water 4,0.0,raw,115613
0.0,0.0,0.0,0.0,39.0,195.5,0.0,0.0,0.0,0.0,4,16,7435,6575.0625,0.0,0.0,1.11474975,6641.5,5656,Water 5,0.0,raw,105201
0.0,0.0,0.0,0.0,34.0,194.5,0.0,0.0,0.0,0.0,5,16,6704,6034.8125,0.0,0.0,1.0231549375,6075.5,5302,Water 6,0.0,raw,96557
0.0,0.0,0.0,0.0,29.0,194.0,0.0,0.0,0.0,0.0,6,16,6045,5552.4375,0.0,0.0,0.9413719375,5589.5,4988,Water 7,0.0,raw,88839
0.0,0.0,0.0,0.0,11.5,223.0,0.0,4.235450875,0.0,0.0,7,16,78746,72611.0,0.0,0.0,12.3106215,72298.5,67025,Water 8,0.0,raw,1161776
0.0,0.0,0.0,0.0,128.0,148.0,0.0,0.0,0.0,50.0,16,16,326462,311974.1875,0.0,66.99684662499999,52.892759187500005,311192.5,303399,Grass,0.0,raw,4991587
0.0,0.0,0.0,0.0,169.0,127.0,0.0,0.0,0.0,106.5,17,16,8548,7380.9375,0.0,1.5854464999999998,1.2513796875,7560.0,6111,Rock transition 1,0.0,raw,118095
0.0,0.0,0.0,0.0,129.25,136.0,0.0,0.0,0.0,52.5,18,16,157,126.75,0.0,0.027221250000000002,0.0214895625,126.5,101,Grass detail 1,0.0,raw,2028
0.0,0.0,0.0,0.0,125.5,145.75,0.0,0.0,0.0,51.0,19,16,153,120.75,0.0,0.0259300625,0.020472249999999997,119.0,91,Grass detail 2,0.0,raw,1932
0.0,0.0,0.0,0.0,128.75,149.5,0.0,0.0,0.0,52.5,20,16,6800,6050.9375,0.0,1.2993964375,1.02588875,6057.0,5272,Grass/desert transition,0.0,raw,96815
0.0,0.0,0.0,0.0,129.0,130.0,0.0,0.0,0.0,53.0,21,16,2234,1691.625,0.0,0.36326912499999997,0.28680175,1649.5,1119,Grass/swamp transition,0.0,raw,27066
0.0,0.0,0.0,0.0,152.5,111.0,0.0,0.0,0.0,55.5,23,16,2581,1793.1875,0.0,0.3848659375,0.304020625,1709.5,1329,Mud,0.0,raw,28691
0.0,0.0,0.0,0.0,134.5,125.5,0.0,0.0,0.0,56.0,24,16,15952,13071.125,0.0,2.804562875,2.216106,12727.0,9666,Dry grass,0.0,raw,209138
0.0,0.0,0.0,0.0,152.25,2.0,0.0,0.0,0.0,50.5,28,16,644,346.125,0.0,0.0741865,0.0586828125,341.0,54,Runtime start-area terrain,0.0,raw,5538
0.0,0.0,0.0,0.0,178.0,124.0,0.0,0.0,0.0,127.5,32,16,58769,55416.25,0.0,11.9006018125,9.395387374999999,55500.5,52832,Rocky core,0.0,raw,886660
0.0,0.0,0.0,0.0,171.0,125.5,0.0,0.0,0.0,110.5,33,16,7148,6376.125,0.0,1.3695420624999999,1.081021625,6462.5,5272,Rock transition 2,0.0,raw,102018
0.0,0.0,0.0,0.0,193.0,131.0,0.0,0.0,0.0,131.25,34,16,39,24.625,0.0,0.00528425,0.0041749375,22.5,10,Rocky detail,0.0,raw,394
0.0,0.0,0.0,0.0,184.0,111.5,0.0,0.0,0.0,156.0,35,16,2732,2406.125,0.0,0.5168245,0.4079395,2454.0,2034,Rock/snow transition,0.0,raw,38498
0.0,0.0,0.0,0.0,59.0,181.5,0.0,0.0,0.0,0.0,48,16,23376,21040.125,0.0,4.5224233125,3.5671870625,21388.0,16467,Shore,0.0,raw,336642
0.0,0.0,0.0,0.0,136.0,150.5,0.0,0.0,0.0,55.0,64,16,14353,11209.75,0.0,2.407579,1.900524625,11133.5,8104,Desert core,0.0,raw,179356
0.0,0.0,0.0,0.0,130.0,153.5,0.0,0.0,0.0,53.0,65,16,4223,3677.375,0.0,0.7896994375,0.6234698125,3709.0,3225,Desert transition,0.0,raw,58838
0.0,0.0,0.0,0.0,153.0,101.5,0.0,0.0,0.0,57.25,80,16,175,108.0625,0.0,0.0232791875,0.0183211875,108.0,23,Swamp core,0.0,raw,1729
0.0,0.0,0.0,0.0,130.0,119.75,0.0,0.0,0.0,55.5,81,16,569,410.75,0.0,0.088277625,0.06963943750000001,419.5,234,Swamp transition,0.0,raw,6572
0.0,0.0,0.0,0.0,70.5,182.0,0.0,0.0,0.0,23.0,96,16,10415,7895.5,0.0,1.6970950625,1.338619625,7768.0,6428,River 1,0.0,raw,126328
0.0,0.0,0.0,0.0,77.5,166.0,0.0,0.0,0.0,15.0,97,16,2105,1505.875,0.0,0.3237524375,0.2553091875,1455.5,1007,River 2,0.0,raw,24094
0.0,0.0,0.0,0.0,75.25,154.0,0.0,0.0,0.0,11.0,98,16,403,255.125,0.0,0.054909625,0.043254375,246.5,133,River 3,0.0,raw,4082
0.0,0.0,0.0,0.0,88.5,166.25,0.0,0.0,0.0,10.0,99,16,115,63.375,0.0,0.013647562500000002,0.010744625,62.0,17,River 4,0.0,raw,1014
0.0,0.0,0.0,0.0,187.0,116.0,0.0,0.0,0.0,171.5,128,16,10409,9727.1875,0.0,2.0887749375,1.6491678749999998,9716.0,8942,Snow core,0.0,raw,155635
0.0,0.0,0.0,0.0,186.75,112.5,0.0,0.0,0.0,160.0,129,16,2167,1911.3125,0.0,0.4105710625,0.324048,1944.0,1699,Snow transition,0.0,raw,30581
0.0,0.0,0.0,0.0,168.5,95.75,0.0,0.0,0.0,58.5,144,16,864,405.9375,0.0,0.08702968750000001,0.0688234375,342.0,193,Mud transition 1,0.0,raw,6495
0.0,0.0,0.0,0.0,158.5,100.0,0.0,0.0,0.0,58.5,145,16,1063,648.0,0.0,0.13898262500000003,0.10986312499999999,599.5,403,Mud transition 2,0.0,raw,10368
99.828093875,0.2,25.0,123.30000000000003,54.0,187.5,0.0,0.0,3.1427277187341858,0.0,0,16,10619,9520.6875,208.125,0.0,1.6141573125000002,9550.5,7647,Water 1,19.39702434479833,normalized,152331
100.0,0.21890756302521008,33.0,259.35,51.0,190.5,0.0,0.0,2.4726810893956714,0.0,1,16,9963,8744.375,92.0625,0.0,1.4825396875,8807.0,7165,Water 2,21.58274596288169,normalized,139910
100.0,0.24376293995859213,31.0,206.70000000000005,47.0,193.5,0.0,0.0,2.260654296775099,0.0,2,16,8993,7922.6875,57.5,0.0,1.343229125,8013.0,6698,Water 3,21.17871607336113,normalized,126763
100.0,0.25,28.5,169.00000000000006,43.0,195.5,0.0,0.0,2.248054401196767,0.0,3,16,8228,7225.8125,44.0,0.0,1.225079375,7296.5,6188,Water 4,18.430272836655906,normalized,115613
100.0,0.25,28.75,146.90000000000003,39.0,195.5,0.0,0.0,2.2846740761516897,0.0,4,16,7435,6575.0625,38.0,0.0,1.11474975,6641.5,5656,Water 5,18.91546975481463,normalized,105201
100.0,0.23244366744366746,32.0,120.04999999999998,34.0,194.5,0.0,0.0,2.3423843621469524,0.0,5,16,6704,6034.8125,31.0625,0.0,1.0231549375,6075.5,5302,Water 6,20.817379864809137,normalized,96557
100.0,0.24813762626262625,31.25,105.75,29.0,194.0,0.0,0.0,2.20730961155129,0.0,6,16,6045,5552.4375,27.9375,0.0,0.9413719375,5589.5,4988,Water 7,20.917911461146517,normalized,88839
100.0,0.49498316498316497,38.75,395.4000000000003,11.5,223.0,0.0,4.235450875,2.395776658096504,0.0,7,16,78746,72611.0,24.0625,0.0,12.3106215,72298.5,67025,Water 8,8.929966716401623,normalized,1161776
0.0,0.8333333333333334,2.0,53.450000000000024,128.0,148.0,26.5,0.0,1.7150243911713112,50.0,16,16,327098,312320.3125,95.8125,67.071033,52.95144175,311255.0,304043,Grass,7.071067811865475,normalized,4997125
0.0,0.5208333333333333,7.25,242.79999999999995,169.0,127.0,52.5,0.0,1.7320508075688774,106.5,17,16,8548,7380.9375,69.625,1.5854464999999998,1.2513796875,7560.0,6111,Rock transition 1,9.874110945241927,normalized,118095
0.0,1.0,1.0,1.0,129.25,136.0,29.5,0.0,1.0,52.5,18,16,157,126.75,126.75,0.027221250000000002,0.0214895625,126.5,101,Grass detail 1,6.0,normalized,2028
0.0,1.0,1.0,1.0,125.5,145.75,28.5,0.0,1.0,51.0,19,16,153,120.75,120.75,0.0259300625,0.020472249999999997,119.0,91,Grass detail 2,6.0,normalized,1932
0.0,1.0,1.0,50.5,128.75,149.5,28.5,0.0,1.0,52.5,20,16,6800,6050.9375,340.5,1.2993964375,1.02588875,6057.0,5272,Grass/desert transition,6.0,normalized,96815
