a,b,family_a,family_b,maps_present,mean_hex_edges_per_map,pct_of_all_hex_edges,terrain_a,terrain_b,total_hex_edges
16,16,grass,grass,16,880296.0,49.83557,Grass,Grass,14084736
7,7,water,water,16,209509.4375,11.860808,Water 8,Water 8,3352151
32,32,mountain_full,mountain_full,16,157656.375,8.925288,Rocky core,Rocky core,2522502
48,48,shore,shore,16,43173.375,2.444143,Shore,Shore,690774
64,64,desert,desert,16,30601.375,1.732414,Desert core,Desert core,489622
24,24,grass,grass,16,30222.5,1.710965,Dry grass,Dry grass,483560
16,96,grass,river,16,29251.9375,1.656019,Grass,River 1,468031
128,128,snow,snow,16,27493.625,1.556477,Snow core,Snow core,439898
0,48,water,shore,16,18943.125,1.072414,Water 1,Shore,303090
16,48,grass,shore,16,18076.1875,1.023334,Grass,Shore,289219
16,24,grass,grass,16,17981.75,1.017988,Grass,Dry grass,287708
0,1,water,water,16,17611.3125,0.997017,Water 1,Water 2,281781
1,2,water,water,16,16123.25,0.912774,Water 2,Water 3,257972
16,17,grass,mountain_full,16,15388.75,0.871192,Grass,Rock transition 1,246220
16,20,grass,desert,16,14789.375,0.83726,Grass,Grass/desert transition,236630
2,3,water,water,16,14763.625,0.835803,Water 3,Water 4,236218
3,4,water,water,16,13454.6875,0.761701,Water 4,Water 5,215275
17,33,mountain_full,mountain_full,16,13069.875,0.739916,Rock transition 1,Rock transition 2,209118
4,5,water,water,16,12340.875,0.698645,Water 5,Water 6,197454
32,33,mountain_full,mountain_full,16,11854.25,0.671096,Rocky core,Rock transition 2,189668
5,6,water,water,16,11343.6875,0.642192,Water 6,Water 7,181499
6,7,water,water,16,10505.125,0.594719,Water 7,Water 8,168082
0,0,water,water,16,9892.5625,0.560041,Water 1,Water 1,158281
1,1,water,water,16,9188.6875,0.520193,Water 2,Water 2,147019
2,2,water,water,16,8259.875,0.46761,Water 3,Water 3,132158
17,17,mountain_full,mountain_full,16,7913.5,0.448001,Rock transition 1,Rock transition 1,126616
20,65,desert,desert,16,7855.25,0.444704,Grass/desert transition,Desert transition,125684
3,3,water,water,16,7551.4375,0.427504,Water 4,Water 4,120823
96,96,river,river,16,7463.6875,0.422536,River 1,River 1,119419
20,20,desert,desert,16,6830.5,0.38669,Grass/desert transition,Grass/desert transition,109288
4,4,water,water,16,6821.3125,0.38617,Water 5,Water 5,109141
33,33,mountain_full,mountain_full,16,6666.3125,0.377395,Rock transition 2,Rock transition 2,106661
5,5,water,water,16,6260.5,0.354421,Water 6,Water 6,100168
64,65,desert,desert,16,6055.75,0.34283,Desert core,Desert transition,96892
6,6,water,water,16,5732.375,0.324523,Water 7,Water 7,91718
32,35,mountain_full,snow,16,5182.75,0.293407,Rocky core,Rock/snow transition,82924
16,23,grass,mud,16,5175.625,0.293004,Grass,Mud,82810
16,21,grass,swamp,16,5100.375,0.288744,Grass,Grass/swamp transition,81606
16,97,grass,river,16,5063.75,0.28667,Grass,River 2,81020
65,65,desert,desert,16,4076.625,0.230787,Desert transition,Desert transition,65226
35,129,snow,snow,16,4021.5,0.227666,Rock/snow transition,Snow transition,64344
128,129,snow,snow,16,3375.875,0.191116,Snow core,Snow transition,54014
35,35,snow,snow,16,2616.25,0.148112,Rock/snow transition,Rock/snow transition,41860
48,96,shore,river,16,2049.375,0.11602,Shore,River 1,32790
129,129,snow,snow,16,2035.25,0.11522,Snow transition,Snow transition,32564
23,23,mud,mud,16,2015.25,0.114088,Mud,Mud,32244
21,21,swamp,swamp,16,1971.375,0.111604,Grass/swamp transition,Grass/swamp transition,31542
23,145,mud,mud,16,1553.0,0.087919,Mud,Mud transition 2,24848
97,97,river,river,16,1410.9375,0.079876,River 2,River 2,22575
21,81,swamp,swamp,16,1106.625,0.062649,Grass/swamp transition,Swamp transition,17706
16,98,grass,river,16,819.0,0.046365,Grass,River 3,13104
144,144,mud,mud,16,817.1875,0.046263,Mud transition 1,Mud transition 1,13075
144,145,mud,mud,16,801.25,0.045361,Mud transition 1,Mud transition 2,12820
145,145,mud,mud,16,766.875,0.043415,Mud transition 2,Mud transition 2,12270
16,18,grass,grass,16,760.5,0.043054,Grass,Grass detail 1,12168
16,19,grass,grass,16,724.5,0.041016,Grass,Grass detail 2,11592
48,97,shore,river,16,644.75,0.036501,Shore,River 2,10316
0,96,water,river,16,556.75,0.031519,Water 1,River 1,8908
81,81,swamp,swamp,16,524.6875,0.029704,Swamp transition,Swamp transition,8395
80,81,swamp,swamp,16,308.5,0.017465,Swamp core,Swamp transition,4936
1,96,water,river,16,255.125,0.014443,Water 2,River 1,4082
98,98,river,river,16,235.375,0.013325,River 3,River 3,3766
16,99,grass,river,16,198.125,0.011216,Grass,River 4,3170
96,97,river,river,16,186.5625,0.010562,River 1,River 2,2985
0,97,water,river,16,177.0625,0.010024,Water 1,River 2,2833
80,80,swamp,swamp,16,169.9375,0.009621,Swamp core,Swamp core,2719
32,34,mountain_full,mountain_full,16,147.75,0.008364,Rocky core,Rocky detail,2364
48,98,shore,river,16,142.5,0.008067,Shore,River 3,2280
2,96,water,river,16,92.5625,0.00524,Water 3,River 1,1481
1,97,water,river,16,78.125,0.004423,Water 2,River 2,1250
99,99,river,river,16,59.0,0.00334,River 4,River 4,944
0,98,water,river,16,39.9375,0.002261,Water 1,River 3,639
48,99,shore,river,16,38.0625,0.002155,Shore,River 4,609
2,97,water,river,16,30.25,0.001713,Water 3,River 2,484
3,96,water,river,13,32.30769230769231,0.001486,Water 4,River 1,420
97,98,river,river,16,20.8125,0.001178,River 2,River 3,333
1,98,water,river,16,15.875,0.000899,Water 2,River 3,254
96,98,river,river,16,12.9375,0.000732,River 1,River 3,207
0,99,water,river,16,10.8125,0.000612,Water 1,River 4,173
4,96,water,river,10,14.4,0.00051,Water 5,River 1,144
3,97,water,river,10,10.1,0.000357,Water 4,River 2,101
1,99,water,river,14,5.928571428571429,0.000294,Water 2,River 4,83
2,98,water,river,14,4.785714285714286,0.000237,Water 3,River 3,67
98,99,river,river,16,3.3125,0.000188,River 3,River 4,53
4,97,water,river,8,5.125,0.000145,Water 5,River 2,41
2,99,water,river,7,5.714285714285714,0.000142,Water 3,River 4,40
5,96,water,river,6,6.166666666666667,0.000131,Water 6,River 1,37
96,99,river,river,16,2.0625,0.000117,River 1,River 4,33
97,99,river,river,13,2.3076923076923075,0.000106,River 2,River 4,30
5,97,water,river,4,4.0,5.7e-05,Water 6,River 2,16
3,98,water,river,3,4.333333333333333,4.6e-05,Water 4,River 3,13
6,96,water,river,4,3.0,4.2e-05,Water 7,River 1,12
4,98,water,river,3,3.3333333333333335,3.5e-05,Water 5,River 3,10
3,99,water,river,3,1.6666666666666667,1.8e-05,Water 4,River 4,5
6,97,water,river,1,5.0,1.8e-05,Water 7,River 2,5
